inst_id,inst_name,module,cell_type,x_um,y_um,area_um2,cap_ff,is_seq,is_clk,is_macro
0,_496_,top,INV_X1,18.81,9.1,0.532,1.17,0,0,0
1,_497_,top,INV_X1,17.48,9.1,0.532,1.17,0,0,0
2,_498_,top,NAND2_X2,18.145,9.1,1.33,2.926,0,0,0
3,_499_,top,NAND2_X2,19.285,6.3,1.33,2.926,0,0,0
4,_500_,top,NAND2_X4,28.215,11.9,2.394,5.267,0,0,0
5,_501_,top,INV_X2,21.565,6.3,0.798,1.756,0,0,0
6,_502_,top,INV_X1,22.8,7.7,0.532,1.17,0,0,0
7,_503_,top,NAND2_X4,23.465,10.5,2.394,5.267,0,0,0
8,_504_,top,NAND2_X2,23.845,7.7,1.33,2.926,0,0,0
9,_505_,top,NAND2_X4,24.035,9.1,2.394,5.267,0,0,0
10,_506_,top,NOR2_X4,32.205,9.1,2.394,5.267,0,0,0
11,_507_,top,NAND2_X4,24.795,3.5,2.394,5.267,0,0,0
12,_508_,top,NOR2_X1,27.835,6.3,0.798,1.756,0,0,0
13,input15,top,BUF_X1,18.335,2.1,0.798,1.756,0,0,0
14,_510_,top,NAND2_X4,28.405,4.9,2.394,5.267,0,0,0
15,_511_,top,OAI21_X2,28.785,6.3,1.862,4.096,0,0,0
16,_512_,top,NAND2_X1,32.205,7.7,0.798,1.756,0,0,0
17,_513_,top,NAND2_X1,25.365,10.5,0.798,1.756,0,0,0
18,_514_,top,NAND2_X1,24.795,10.5,0.798,1.756,0,0,0
19,_515_,top,NAND2_X1,34.105,10.5,0.798,1.756,0,0,0
20,_516_,top,INV_X1,32.87,11.9,0.532,1.17,0,0,0
21,_517_,top,INV_X2,23.845,6.3,0.798,1.756,0,0,0
22,_518_,top,INV_X1,24.32,6.3,0.532,1.17,0,0,0
23,_519_,top,NAND2_X4,25.365,6.3,2.394,5.267,0,0,0
24,_520_,top,NAND2_X4,27.645,9.1,2.394,5.267,0,0,0
25,_521_,top,INV_X2,27.075,3.5,0.798,1.756,0,0,0
26,_522_,top,INV_X1,27.74,3.5,0.532,1.17,0,0,0
27,_523_,top,NAND2_X2,30.115,3.5,1.33,2.926,0,0,0
28,_524_,top,NAND2_X2,29.735,4.9,1.33,2.926,0,0,0
29,_525_,top,NOR2_X2,33.535,6.3,1.33,2.926,0,0,0
30,_526_,top,NOR2_X4,7.885,2.1,2.394,5.267,0,0,0
31,_527_,top,INV_X2,31.635,6.3,0.798,1.756,0,0,0
32,_528_,top,NAND3_X1,31.54,7.7,1.064,2.341,0,0,0
33,_529_,top,NAND2_X1,32.205,11.9,0.798,1.756,0,0,0
34,_530_,top,INV_X2,26.315,13.3,0.798,1.756,0,0,0
35,_531_,top,INV_X1,27.17,11.9,0.532,1.17,0,0,0
36,_532_,top,NAND2_X4,27.835,13.3,2.394,5.267,0,0,0
37,_533_,top,NAND2_X2,27.645,16.1,1.33,2.926,0,0,0
38,_534_,top,NAND2_X4,30.115,14.7,2.394,5.267,0,0,0
39,_535_,top,XNOR2_X2,33.25,13.3,2.66,5.852,0,0,0
40,_536_,top,NOR2_X4,31.445,3.5,2.394,5.267,0,0,0
41,_537_,top,NOR2_X4,28.595,2.1,2.394,5.267,0,0,0
42,_538_,top,OAI21_X4,30.685,2.1,3.458,7.608,0,0,0
43,_539_,top,NAND2_X4,29.735,10.5,2.394,5.267,0,0,0
44,_540_,top,NOR2_X1,21.755,7.7,0.798,1.756,0,0,0
45,_541_,top,OAI21_X2,28.025,7.7,1.862,4.096,0,0,0
46,_542_,top,INV_X1,26.98,10.5,0.532,1.17,0,0,0
47,_543_,top,NAND2_X4,28.025,10.5,2.394,5.267,0,0,0
48,_544_,top,XNOR2_X2,25.84,9.1,2.66,5.852,0,0,0
49,_545_,top,INV_X1,28.69,9.1,0.532,1.17,0,0,0
50,_546_,top,NOR2_X2,29.165,7.7,1.33,2.926,0,0,0
51,_547_,top,NAND2_X4,30.495,9.1,2.394,5.267,0,0,0
52,_548_,top,NAND2_X4,30.305,6.3,2.394,5.267,0,0,0
53,_549_,top,XNOR2_X2,26.41,7.7,2.66,5.852,0,0,0
54,_550_,top,XNOR2_X2,33.25,4.9,2.66,5.852,0,0,0
55,_551_,top,XNOR2_X2,33.44,7.7,2.66,5.852,0,0,0
56,_552_,top,XNOR2_X2,8.55,3.5,2.66,5.852,0,0,0
57,_553_,top,INV_X1,31.73,11.9,0.532,1.17,0,0,0
58,_554_,top,INV_X1,32.87,10.5,0.532,1.17,0,0,0
59,_555_,top,NAND2_X1,31.445,10.5,0.798,1.756,0,0,0
60,_556_,top,INV_X1,29.45,16.1,0.532,1.17,0,0,0
61,_557_,top,NOR2_X1,26.885,16.1,0.798,1.756,0,0,0
62,_558_,top,NOR2_X1,31.065,16.1,0.798,1.756,0,0,0
63,_559_,top,INV_X2,21.565,14.7,0.798,1.756,0,0,0
64,_560_,top,NAND2_X4,21.945,11.9,2.394,5.267,0,0,0
65,_561_,top,INV_X1,22.99,13.3,0.532,1.17,0,0,0
66,_562_,top,NAND2_X1,23.085,16.1,0.798,1.756,0,0,0
67,_563_,top,NAND2_X4,22.705,14.7,2.394,5.267,0,0,0
68,_564_,top,NAND2_X2,28.595,16.1,1.33,2.926,0,0,0
69,_565_,top,NOR2_X2,29.925,17.5,1.33,2.926,0,0,0
70,_566_,top,NAND2_X1,28.785,20.3,0.798,1.756,0,0,0
71,_567_,top,NAND2_X1,22.515,13.3,0.798,1.756,0,0,0
72,_568_,top,NAND2_X1,27.075,14.7,0.798,1.756,0,0,0
73,_569_,top,NAND2_X1,23.655,16.1,0.798,1.756,0,0,0
74,_570_,top,NAND2_X1,30.495,16.1,0.798,1.756,0,0,0
75,_571_,top,OAI21_X2,28.405,17.5,1.862,4.096,0,0,0
76,_572_,top,INV_X1,26.98,18.9,0.532,1.17,0,0,0
77,_573_,top,NAND2_X1,33.155,18.9,0.798,1.756,0,0,0
78,_574_,top,NAND2_X2,12.635,30.1,1.33,2.926,0,0,0
79,_575_,top,INV_X2,16.815,28.7,0.798,1.756,0,0,0
80,_576_,top,NOR2_X2,13.395,28.7,1.33,2.926,0,0,0
81,_577_,top,NOR2_X4,17.385,30.1,2.394,5.267,0,0,0
82,_578_,top,NAND2_X1,17.765,31.5,0.798,1.756,0,0,0
