scenario,fy,fx,drop_v
idle,0,0,0.00049413
idle,0,1,0.00049413
idle,0,2,0.00049413
idle,0,3,0.00049413
idle,0,4,0.00049413
idle,0,5,0.00049413
idle,0,6,0.00049413
idle,0,7,0.00049413
idle,0,8,0.00049413
idle,0,9,0.00049413
idle,0,10,0.00049413
idle,0,11,0.00049413
idle,0,12,0.00049354
idle,0,13,0.00049354
idle,0,14,0.00049349
idle,0,15,0.00049354
idle,0,16,0.00049354
idle,0,17,0.00049344
idle,0,18,0.00049344
idle,0,19,0.00042269
idle,0,20,0.00042269
idle,0,21,0.00042269
idle,0,22,0.00042209
idle,0,23,0.00042209
idle,0,24,0.00042229
idle,0,25,0.00038211
idle,0,26,0.00038211
idle,0,27,0.00038211
idle,0,28,0.00038211
idle,0,29,0.00037923
idle,0,30,0.00037099
idle,0,31,0.00037099
idle,0,32,0.00037099
idle,0,33,0.00037099
idle,0,34,0.00037099
idle,0,35,0.00037099
idle,0,36,0.00037099
idle,0,37,0.00037099
idle,0,38,0.00037099
idle,0,39,0.00036633
idle,0,40,0.0003193
idle,0,41,0.00026284
idle,0,42,0.00026284
idle,0,43,0.00026274
idle,0,44,0.00026274
idle,0,45,0.00018694
idle,0,46,0.00017969
idle,0,47,0.00018366
idle,0,48,0.00018366
idle,0,49,0.00021412
idle,0,50,0.00021422
idle,0,51,0.00022995
idle,0,52,0.00022995
idle,0,53,0.00024002
idle,0,54,0.00024607
idle,0,55,0.00024607
idle,0,56,0.00047716
idle,0,57,0.00048232
idle,0,58,0.00049383
idle,0,59,0.00055446
idle,0,60,0.00055446
idle,0,61,0.00065219
idle,0,62,0.00065219
idle,0,63,0.00065219
idle,0,64,0.00065219
idle,0,65,0.00065219
idle,0,66,0.00065219
idle,0,67,0.00065219
idle,0,68,0.00083655
idle,0,69,0.00083655
idle,0,70,0.00083655
idle,0,71,0.00083655
idle,0,72,0.00083655
idle,0,73,0.00083853
idle,0,74,0.00084072
idle,0,75,0.000843
idle,0,76,0.0008429
idle,0,77,0.0008429
idle,0,78,0.0008429
idle,0,79,0.0008429
idle,0,80,0.000843
idle,0,81,0.0008429
idle,0,82,0.0008429
idle,0,83,0.0008429
idle,0,84,0.0008429
idle,0,85,0.0008429
idle,0,86,0.0008429
idle,0,87,0.0008429
idle,0,88,0.0008429
idle,0,89,0.0008429
idle,0,90,0.0008429
idle,0,91,0.0008429
idle,0,92,0.0008429
idle,0,93,0.0008429
idle,0,94,0.0008429
idle,0,95,0.0008429
idle,1,0,0.00049413
idle,1,1,0.00049413
idle,1,2,0.00049413
idle,1,3,0.00049413
idle,1,4,0.00049413
idle,1,5,0.00049413
idle,1,6,0.00049413
idle,1,7,0.00049413
idle,1,8,0.00049413
idle,1,9,0.00049413
idle,1,10,0.00049413
idle,1,11,0.00049413
idle,1,12,0.00049354
idle,1,13,0.00049354
idle,1,14,0.00049349
idle,1,15,0.00049354
idle,1,16,0.00049354
idle,1,17,0.00049344
idle,1,18,0.00049344
idle,1,19,0.00042269
idle,1,20,0.00042269
idle,1,21,0.00042269
idle,1,22,0.00042209
idle,1,23,0.00042209
idle,1,24,0.00042229
idle,1,25,0.00038211
idle,1,26,0.00038211
idle,1,27,0.00038211
idle,1,28,0.00038211
idle,1,29,0.00037923
idle,1,30,0.00037099
idle,1,31,0.00037099
idle,1,32,0.00037099
idle,1,33,0.00037099
idle,1,34,0.00037099
idle,1,35,0.00037099
idle,1,36,0.00037099
idle,1,37,0.00037099
idle,1,38,0.00037099
idle,1,39,0.00036633
idle,1,40,0.0003193
idle,1,41,0.00026284
idle,1,42,0.00026284
idle,1,43,0.00026274
idle,1,44,0.00026274
idle,1,45,0.00018694
idle,1,46,0.00017969
idle,1,47,0.00018366
idle,1,48,0.00018366
idle,1,49,0.00021412
idle,1,50,0.00021422
idle,1,51,0.00022995
idle,1,52,0.00022995
idle,1,53,0.00024002
idle,1,54,0.00024607
idle,1,55,0.00024607
idle,1,56,0.00047716
idle,1,57,0.00048232
idle,1,58,0.00049383
idle,1,59,0.00055446
idle,1,60,0.00055446
idle,1,61,0.00065219
idle,1,62,0.00065219
idle,1,63,0.00065219
idle,1,64,0.00065219
idle,1,65,0.00065219
idle,1,66,0.00065219
idle,1,67,0.00065219
idle,1,68,0.00083655
idle,1,69,0.00083655
idle,1,70,0.00083655
idle,1,71,0.00083655
idle,1,72,0.00083655
idle,1,73,0.00083853
idle,1,74,0.00084072
idle,1,75,0.000843
idle,1,76,0.0008429
idle,1,77,0.0008429
idle,1,78,0.0008429
idle,1,79,0.0008429
idle,1,80,0.000843
idle,1,81,0.0008429
idle,1,82,0.0008429
idle,1,83,0.0008429
idle,1,84,0.0008429
idle,1,85,0.0008429
idle,1,86,0.0008429
idle,1,87,0.0008429
idle,1,88,0.0008429
idle,1,89,0.0008429
idle,1,90,0.0008429
idle,1,91,0.0008429
idle,1,92,0.0008429
idle,1,93,0.0008429
idle,1,94,0.0008429
idle,1,95,0.0008429
idle,2,0,0.00049413
idle,2,1,0.00049413
idle,2,2,0.00049413
idle,2,3,0.00049413
idle,2,4,0.00049413
idle,2,5,0.00049413
idle,2,6,0.00049413
idle,2,7,0.00049413
idle,2,8,0.00049413
idle,2,9,0.00049413
idle,2,10,0.00049413
idle,2,11,0.00049413
idle,2,12,0.00049354
idle,2,13,0.00049354
idle,2,14,0.00049349
idle,2,15,0.00049354
idle,2,16,0.00049354
idle,2,17,0.00049344
idle,2,18,0.00049344
idle,2,19,0.00042269
idle,2,20,0.00042269
idle,2,21,0.00042269
idle,2,22,0.00042209
idle,2,23,0.00042209
idle,2,24,0.00042229
idle,2,25,0.00038211
idle,2,26,0.00038211
idle,2,27,0.00038211
idle,2,28,0.00038211
idle,2,29,0.00037923
idle,2,30,0.00037099
idle,2,31,0.00037099
idle,2,32,0.00037099
idle,2,33,0.00037099
idle,2,34,0.00037099
idle,2,35,0.00037099
idle,2,36,0.00037099
idle,2,37,0.00037099
idle,2,38,0.00037099
idle,2,39,0.00036633
idle,2,40,0.0003193
idle,2,41,0.00026284
