path_id,endpoint,clock_domain,slack_ns,delay_ns,inst_ids
0,dpath.b_reg.out[6]$_DFFE_PP_,clk_core,-0.14,-0.43,34;36;38;176;197;240;242;249;257;260;302;305;706;707;721;730
1,dpath.b_reg.out[10]$_DFFE_PP_,clk_core,-0.14,-0.43,34;36;38;176;197;240;242;249;257;260;285;288;706;707;714;721;730
2,dpath.b_reg.out[12]$_DFFE_PP_,clk_core,-0.14,-0.43,34;36;38;176;197;240;242;249;257;260;276;280;706;707;714;721;730
3,dpath.b_reg.out[14]$_DFFE_PP_,clk_core,-0.14,-0.43,34;36;38;176;197;240;242;249;257;260;263;271;706;707;714;721;730
4,dpath.b_reg.out[5]$_DFFE_PP_,clk_core,-0.14,-0.43,34;36;38;176;197;240;242;249;257;260;306;309;705;706;707;721;730
5,dpath.b_reg.out[7]$_DFFE_PP_,clk_core,-0.14,-0.43,34;36;38;176;197;240;242;249;257;260;298;301;705;706;707;721;730
6,dpath.b_reg.out[11]$_DFFE_PP_,clk_core,-0.14,-0.43,34;36;38;176;197;240;242;249;257;260;281;284;706;707;715;721;730
7,dpath.b_reg.out[15]$_DFFE_PP_,clk_core,-0.14,-0.42,63;64;67;168;169;197;240;242;249;257;260;261;467;470;706;707;714;722
8,dpath.b_reg.out[1]$_DFFE_PP_,clk_core,-0.14,-0.42,63;64;67;168;169;197;240;242;249;257;260;261;323;326;705;706;707;722
9,dpath.a_reg.out[7]$_DFFE_PP_,clk_core,-0.14,-0.42,34;36;38;176;197;240;242;249;344;393;396;398;399;706;707;710
10,dpath.a_reg.out[1]$_DFFE_PP_,clk_core,-0.14,-0.42,34;36;38;176;197;240;242;249;344;435;438;440;441;706;707;710
11,dpath.a_reg.out[2]$_DFFE_PP_,clk_core,-0.14,-0.42,34;36;38;176;197;240;242;249;344;428;431;433;434;706;707;710
12,dpath.a_reg.out[3]$_DFFE_PP_,clk_core,-0.14,-0.42,34;36;38;176;197;240;242;249;344;421;424;426;427;706;707;710
13,dpath.a_reg.out[4]$_DFFE_PP_,clk_core,-0.14,-0.42,34;36;38;176;197;240;242;249;344;414;417;419;420;706;707;710
14,dpath.a_reg.out[5]$_DFFE_PP_,clk_core,-0.14,-0.42,34;36;38;176;197;240;242;249;344;407;410;412;413;706;707;710
15,dpath.b_reg.out[3]$_DFFE_PP_,clk_core,-0.14,-0.42,34;36;38;176;197;240;242;249;257;260;316;318;705;706;707;722
16,dpath.b_reg.out[0]$_DFFE_PP_,clk_core,-0.14,-0.42,34;36;38;176;197;240;242;249;257;260;261;330;331;705;706;707;722
17,dpath.b_reg.out[2]$_DFFE_PP_,clk_core,-0.14,-0.41,63;64;67;168;169;197;240;242;249;257;260;261;319;322;706;707;722
18,dpath.b_reg.out[9]$_DFFE_PP_,clk_core,-0.14,-0.41,63;64;67;168;169;197;240;242;249;257;260;261;289;292;706;707;714;722
19,dpath.a_reg.out[6]$_DFFE_PP_,clk_core,-0.14,-0.42,34;36;38;176;197;240;242;249;344;400;403;405;406;706;707;710
20,dpath.b_reg.out[4]$_DFFE_PP_,clk_core,-0.14,-0.42,34;36;38;176;197;240;242;249;257;260;261;312;313;705;706;707;722
21,dpath.a_reg.out[10]$_DFFE_PP_,clk_core,-0.14,-0.42,34;36;38;176;197;240;242;249;344;374;375;706;707;709;715
22,dpath.a_reg.out[8]$_DFFE_PP_,clk_core,-0.14,-0.42,34;36;38;176;197;240;242;249;344;391;392;706;707;709;715
23,dpath.a_reg.out[15]$_DFFE_PP_,clk_core,-0.14,-0.42,34;36;38;176;197;240;242;249;344;476;477;706;707;709;715
24,dpath.a_reg.out[0]$_DFFE_PP_,clk_core,-0.14,-0.42,34;36;38;176;197;240;242;249;344;442;445;447;448;705;706;707;708
