inst_id,inst_name,module,cell_type,x_um,y_um,area_um2,cap_ff,is_seq,is_clk,is_macro
0,_14554_,top,INV_X2,83.315,102.9,0.798,1.756,0,0,0
1,place2558,top,BUF_X8,58.805,186.9,3.458,7.608,0,0,0
2,place2557,top,BUF_X2,84.17,212.1,1.064,2.341,0,0,0
3,place2537,top,BUF_X1,92.435,83.3,0.798,1.756,0,0,0
4,place2556,top,BUF_X2,54.91,128.1,1.064,2.341,0,0,0
5,place2555,top,BUF_X2,17.86,114.1,1.064,2.341,0,0,0
6,place2554,top,BUF_X2,80.94,94.5,1.064,2.341,0,0,0
7,place2553,top,BUF_X1,85.975,88.9,0.798,1.756,0,0,0
8,place2552,top,BUF_X1,89.395,70.7,0.798,1.756,0,0,0
9,place2546,top,BUF_X1,38.285,212.1,0.798,1.756,0,0,0
10,_14564_,top,MUX2_X1,6.365,151.9,1.862,4.096,0,0,0
11,_14565_,top,MUX2_X1,7.125,156.1,1.862,4.096,0,0,0
12,place2512,top,BUF_X1,7.695,87.5,0.798,1.756,0,0,0
13,place2505,top,BUF_X8,10.355,60.9,3.458,7.608,0,0,0
14,place2504,top,BUF_X1,46.265,65.1,0.798,1.756,0,0,0
15,place2503,top,BUF_X16,63.935,58.1,6.65,14.63,0,0,0
16,place2502,top,BUF_X8,85.025,81.9,3.458,7.608,0,0,0
17,place2511,top,BUF_X1,16.815,86.1,0.798,1.756,0,0,0
18,_14572_,top,MUX2_X1,7.885,154.7,1.862,4.096,0,0,0
19,_14573_,top,MUX2_X1,9.405,153.3,1.862,4.096,0,0,0
20,_14574_,top,MUX2_X1,12.065,153.3,1.862,4.096,0,0,0
21,_14575_,top,MUX2_X1,10.735,153.3,1.862,4.096,0,0,0
22,place2507,top,BUF_X8,60.135,81.9,3.458,7.608,0,0,0
23,_14577_,top,INV_X2,98.515,60.9,0.798,1.756,0,0,0
24,place2506,top,BUF_X1,20.615,59.5,0.798,1.756,0,0,0
25,place2510,top,BUF_X4,46.455,87.5,1.862,4.096,0,0,0
26,place2509,top,BUF_X1,49.875,97.3,0.798,1.756,0,0,0
27,place2508,top,BUF_X8,65.455,83.3,3.458,7.608,0,0,0
28,_14582_,top,MUX2_X1,11.115,154.7,1.862,4.096,0,0,0
29,_14583_,top,MUX2_X1,22.135,151.9,1.862,4.096,0,0,0
