scenario,fy,fx,drop_v
idle,0,0,0.00015786
idle,0,1,0.00015786
idle,0,2,0.00015786
idle,0,3,0.00015786
idle,0,4,0.00015786
idle,0,5,0.00015786
idle,0,6,0.00015786
idle,0,7,0.00015786
idle,0,8,0.00015786
idle,0,9,0.00015786
idle,0,10,0.00015786
idle,0,11,0.00015786
idle,0,12,0.00015786
idle,0,13,0.00016487
idle,0,14,0.00016487
idle,0,15,0.00017647
idle,0,16,0.00017647
idle,0,17,0.00017647
idle,0,18,0.00018808
idle,0,19,0.00018808
idle,0,20,0.00019968
idle,0,21,0.00019968
idle,0,22,0.00019968
idle,0,23,0.00021129
idle,0,24,0.00021129
idle,0,25,0.00022311
idle,0,26,0.00022311
idle,0,27,0.00022311
idle,0,28,0.00023471
idle,0,29,0.00023471
idle,0,30,0.00024632
idle,0,31,0.00024632
idle,0,32,0.00025508
idle,0,33,0.00025858
idle,0,34,0.00026263
idle,0,35,0.00026296
idle,0,36,0.00026608
idle,0,37,0.00027153
idle,0,38,0.00028906
idle,0,39,0.00029542
idle,0,40,0.00029712
idle,0,41,0.00029843
idle,0,42,0.0002985
idle,0,43,0.00029898
idle,0,44,0.00030018
idle,0,45,0.00030103
idle,0,46,0.00030125
idle,0,47,0.00030101
idle,0,48,0.00029443
idle,0,49,0.00028515
idle,0,50,0.00028485
idle,0,51,0.00028042
idle,0,52,0.00026774
idle,0,53,0.00026132
idle,0,54,0.00026121
idle,0,55,0.00025486
idle,0,56,0.00024298
idle,0,57,0.0002236
idle,0,58,0.00022267
idle,0,59,0.00022311
idle,0,60,0.00022388
idle,0,61,0.00022278
idle,0,62,0.00021807
idle,0,63,0.00021194
idle,0,64,0.00021172
idle,0,65,0.00019946
idle,0,66,0.00018742
idle,0,67,0.00017691
idle,0,68,0.00017691
idle,0,69,0.00016487
idle,0,70,0.00015436
idle,0,71,0.00014232
idle,0,72,0.00013159
idle,0,73,0.00011977
idle,0,74,0.00011977
idle,0,75,0.00010904
idle,0,76,9.699e-05
idle,0,77,8.649e-05
idle,0,78,7.444e-05
idle,0,79,6.569e-05
idle,0,80,6.569e-05
idle,0,81,6.569e-05
idle,0,82,6.569e-05
idle,0,83,6.569e-05
idle,0,84,6.569e-05
idle,0,85,6.569e-05
idle,0,86,6.569e-05
idle,0,87,6.569e-05
idle,0,88,6.569e-05
idle,0,89,6.569e-05
idle,0,90,6.569e-05
idle,0,91,6.569e-05
idle,0,92,6.569e-05
idle,0,93,6.569e-05
idle,0,94,6.569e-05
idle,0,95,6.569e-05
idle,1,0,0.00015786
idle,1,1,0.00015786
idle,1,2,0.00015786
idle,1,3,0.00015786
idle,1,4,0.00015786
idle,1,5,0.00015786
idle,1,6,0.00015786
idle,1,7,0.00015786
idle,1,8,0.00015786
idle,1,9,0.00015786
idle,1,10,0.00015786
idle,1,11,0.00015786
idle,1,12,0.00015786
idle,1,13,0.00016487
idle,1,14,0.00016487
idle,1,15,0.00017647
idle,1,16,0.00017647
idle,1,17,0.00017647
idle,1,18,0.00018808
idle,1,19,0.00018808
idle,1,20,0.00019968
idle,1,21,0.00019968
idle,1,22,0.00019968
idle,1,23,0.00021129
idle,1,24,0.00021129
idle,1,25,0.00022311
idle,1,26,0.00022311
idle,1,27,0.00022311
idle,1,28,0.00023471
idle,1,29,0.00023471
idle,1,30,0.00024632
idle,1,31,0.00024632
idle,1,32,0.00025508
idle,1,33,0.00025858
idle,1,34,0.00026263
idle,1,35,0.00026296
idle,1,36,0.00026608
