path_id,endpoint,clock_domain,slack_ns,delay_ns,inst_ids
0,gen_regfile_ff.register_file_i.rf_reg[141]$_DFFE_PN0P_,clk_core,1.29,-1.13,2191;4088;4290;10025;14880;14882;14883;14889;15288
1,gen_regfile_ff.register_file_i.rf_reg[173]$_DFFE_PN0P_,clk_core,1.29,-1.13,2191;4088;4290;10025;14880;14882;14883;14889;15288
2,gen_regfile_ff.register_file_i.rf_reg[798]$_DFFE_PN0P_,clk_core,1.29,-1.13,2191;4088;4290;10025;14880;14882;14883;14889;15288
3,gen_regfile_ff.register_file_i.rf_reg[830]$_DFFE_PN0P_,clk_core,1.29,-1.13,2191;4088;4290;10025;14880;14882;14883;14889;15288
4,gen_regfile_ff.register_file_i.rf_reg[32]$_DFFE_PN0P_,clk_core,1.29,-1.13,2106;4088;4127;10025;14880;14886;14887;14889;15288
5,gen_regfile_ff.register_file_i.rf_reg[130]$_DFFE_PN0P_,clk_core,1.29,-1.13,2102;4088;4127;10025;14880;14886;14887;14889;15288
6,gen_regfile_ff.register_file_i.rf_reg[162]$_DFFE_PN0P_,clk_core,1.29,-1.13,2102;4088;4127;10025;14880;14886;14887;14889;15288
7,gen_regfile_ff.register_file_i.rf_reg[163]$_DFFE_PN0P_,clk_core,1.29,-1.13,2102;4088;4127;10025;14880;14886;14887;14889;15288
8,gen_regfile_ff.register_file_i.rf_reg[194]$_DFFE_PN0P_,clk_core,1.29,-1.13,2102;4088;4127;10025;14880;14886;14887;14889;15288
9,gen_regfile_ff.register_file_i.rf_reg[195]$_DFFE_PN0P_,clk_core,1.29,-1.13,2102;4088;4127;10025;14880;14886;14887;14889;15288
10,gen_regfile_ff.register_file_i.rf_reg[226]$_DFFE_PN0P_,clk_core,1.29,-1.13,2102;4088;4127;10025;14880;14886;14887;14889;15288
11,gen_regfile_ff.register_file_i.rf_reg[256]$_DFFE_PN0P_,clk_core,1.29,-1.13,4088;4127;10025;14880;14886;14887;14889;14920;15288
12,gen_regfile_ff.register_file_i.rf_reg[258]$_DFFE_PN0P_,clk_core,1.29,-1.13,2096;4088;4127;10025;14880;14886;14887;14889;15288
13,gen_regfile_ff.register_file_i.rf_reg[322]$_DFFE_PN0P_,clk_core,1.29,-1.13,2102;4088;4127;10025;14880;14886;14887;14889;15288
14,gen_regfile_ff.register_file_i.rf_reg[386]$_DFFE_PN0P_,clk_core,1.29,-1.13,4088;4127;10025;14880;14886;14887;14889;14920;15288
15,gen_regfile_ff.register_file_i.rf_reg[387]$_DFFE_PN0P_,clk_core,1.29,-1.13,2096;4088;4127;10025;14880;14886;14887;14889;15288
16,gen_regfile_ff.register_file_i.rf_reg[451]$_DFFE_PN0P_,clk_core,1.29,-1.13,2096;4088;4127;10025;14880;14886;14887;14889;15288
17,gen_regfile_ff.register_file_i.rf_reg[512]$_DFFE_PN0P_,clk_core,1.29,-1.13,4088;4126;7444;10025;14880;14886;14887;14889;15288
18,gen_regfile_ff.register_file_i.rf_reg[514]$_DFFE_PN0P_,clk_core,1.29,-1.13,2093;4088;4126;10025;14880;14886;14887;14889;15288
19,gen_regfile_ff.register_file_i.rf_reg[515]$_DFFE_PN0P_,clk_core,1.29,-1.13,1972;4088;4126;10025;14880;14886;14887;14889;15288
20,gen_regfile_ff.register_file_i.rf_reg[544]$_DFFE_PN0P_,clk_core,1.29,-1.13,4088;4127;10025;14880;14886;14887;14889;14920;15288
21,gen_regfile_ff.register_file_i.rf_reg[546]$_DFFE_PN0P_,clk_core,1.29,-1.13,2093;4088;4126;10025;14880;14886;14887;14889;15288
22,gen_regfile_ff.register_file_i.rf_reg[547]$_DFFE_PN0P_,clk_core,1.29,-1.13,1972;4088;4126;10025;14880;14886;14887;14889;15288
23,gen_regfile_ff.register_file_i.rf_reg[576]$_DFFE_PN0P_,clk_core,1.29,-1.13,4088;4127;10025;14880;14886;14887;14889;14920;15288
24,gen_regfile_ff.register_file_i.rf_reg[578]$_DFFE_PN0P_,clk_core,1.29,-1.13,2096;4088;4127;10025;14880;14886;14887;14889;15288
