scenario,module,activity,mission_weight
idle,ch_ctrl,0.0338,0.3
idle,dma_fabric,0.0043,0.3
idle,ecc_engine,0.0,0.3
idle,host_if,0.009,0.3
idle,seq_core,0.0015,0.3
seq_read,ch_ctrl,0.2894,0.25
seq_read,dma_fabric,0.1017,0.25
seq_read,ecc_engine,0.0,0.25
seq_read,host_if,0.2931,0.25
seq_read,seq_core,0.3422,0.25
seq_write,ch_ctrl,0.9479,0.15
seq_write,dma_fabric,1.0,0.15
seq_write,ecc_engine,0.0,0.15
seq_write,host_if,0.8712,0.15
seq_write,seq_core,0.6382,0.15
rand_read_4k,ch_ctrl,0.5,0.15
rand_read_4k,dma_fabric,0.55,0.15
rand_read_4k,ecc_engine,0.45,0.15
rand_read_4k,host_if,0.6,0.15
rand_read_4k,seq_core,0.85,0.15
gc_compact,ch_ctrl,1.0,0.1
gc_compact,dma_fabric,0.5258,0.1
gc_compact,ecc_engine,0.4334,0.1
gc_compact,host_if,0.7441,0.1
gc_compact,seq_core,0.4163,0.1
ecc_recover,ch_ctrl,0.2672,0.05
ecc_recover,dma_fabric,0.099,0.05
ecc_recover,ecc_engine,0.5288,0.05
ecc_recover,host_if,0.4055,0.05
ecc_recover,seq_core,0.5317,0.05
