bump_id,x_um,y_um
0,444.6,861.2
1,444.6,831.2
2,444.6,801.2
3,444.6,771.2
4,444.6,741.2
5,444.6,711.2
6,444.6,681.2
7,444.6,651.2
8,444.6,621.2
9,444.6,591.2
10,444.6,561.2
11,444.6,531.2
12,444.6,501.2
13,444.6,471.2
14,444.6,441.2
15,444.6,411.2
16,444.6,381.2
17,444.6,351.2
18,444.6,321.2
19,444.6,291.2
20,444.6,261.2
21,444.6,231.2
22,444.6,201.2
23,444.6,171.2
24,444.6,141.2
25,444.6,111.2
26,444.6,81.2
27,444.6,51.2
28,444.6,21.2
29,444.6,876.2
30,444.6,846.2
31,444.6,816.2
32,444.6,786.2
33,444.6,756.2
34,444.6,726.2
35,444.6,696.2
36,444.6,666.2
37,444.6,636.2
38,444.6,606.2
39,444.6,576.2
40,444.6,546.2
41,444.6,516.2
42,444.6,486.2
43,444.6,456.2
44,444.6,426.2
45,444.6,396.2
46,444.6,366.2
47,444.6,336.2
48,444.6,306.2
49,444.6,276.2
50,444.6,246.2
51,444.6,216.2
52,444.6,186.2
53,444.6,156.2
54,444.6,126.2
55,444.6,96.2
56,444.6,66.2
57,444.6,36.2
58,444.6,6.2
