scenario,fy,fx,drop_v
idle,0,0,0.00064094
idle,0,1,0.00063427
idle,0,2,0.00062761
idle,0,3,0.00062094
idle,0,4,0.0006146
idle,0,5,0.00060839
idle,0,6,0.00060216
idle,0,7,0.00059596
idle,0,8,0.00058973
idle,0,9,0.0005839
idle,0,10,0.00057895
idle,0,11,0.00057438
idle,0,12,0.00056981
idle,0,13,0.00056489
idle,0,14,0.00056042
idle,0,15,0.00055608
idle,0,16,0.00055527
idle,0,17,0.00055677
idle,0,18,0.00055464
idle,0,19,0.00054942
idle,0,20,0.0005443
idle,0,21,0.00053862
idle,0,22,0.00053481
idle,0,23,0.00053132
idle,0,24,0.00052591
idle,0,25,0.00051939
idle,0,26,0.0005111
idle,0,27,0.00050171
idle,0,28,0.00049719
idle,0,29,0.00049532
idle,0,30,0.00049062
idle,0,31,0.00048475
idle,0,32,0.00047646
idle,0,33,0.00046604
idle,0,34,0.00046128
idle,0,35,0.00045738
idle,0,36,0.00045145
idle,0,37,0.00044412
idle,0,38,0.00043489
idle,0,39,0.00042383
idle,0,40,0.00041368
idle,0,41,0.00040714
idle,0,42,0.00040059
idle,0,43,0.00038986
idle,0,44,0.00037488
idle,0,45,0.00036041
idle,0,46,0.00034874
idle,0,47,0.00033995
idle,0,48,0.00033168
idle,0,49,0.00033603
idle,0,50,0.00034057
idle,0,51,0.00034514
idle,0,52,0.00035038
idle,0,53,0.00035646
idle,0,54,0.00036265
idle,0,55,0.00036883
idle,0,56,0.00037502
idle,0,57,0.00038121
idle,0,58,0.00038752
idle,0,59,0.00039408
idle,0,60,0.00040064
idle,0,61,0.00040721
idle,0,62,0.00041377
idle,0,63,0.00042034
idle,0,64,0.00042693
idle,0,65,0.00043357
idle,0,66,0.00044019
idle,0,67,0.00044686
idle,0,68,0.00045353
idle,0,69,0.00046015
idle,0,70,0.0004668
idle,0,71,0.00047346
idle,0,72,0.00048013
idle,0,73,0.0004868
idle,0,74,0.00049346
idle,0,75,0.00050013
idle,0,76,0.0005068
idle,0,77,0.00051346
idle,0,78,0.00052013
idle,0,79,0.0005268
idle,0,80,0.00053346
idle,0,81,0.00054006
idle,0,82,0.00054673
idle,0,83,0.0005534
idle,0,84,0.00056006
idle,0,85,0.00056673
idle,0,86,0.0005734
idle,0,87,0.00058006
idle,0,88,0.00058673
idle,0,89,0.00059335
idle,0,90,0.0006
idle,0,91,0.00060667
idle,0,92,0.00061333
idle,0,93,0.00062
idle,0,94,0.00062667
idle,0,95,0.00063333
idle,1,0,0.00063409
idle,1,1,0.00062742
idle,1,2,0.00062076
idle,1,3,0.00061409
idle,1,4,0.00060771
idle,1,5,0.00060143
idle,1,6,0.00059515
idle,1,7,0.00058885
idle,1,8,0.00058258
idle,1,9,0.00057662
idle,1,10,0.00057156
idle,1,11,0.00056682
idle,1,12,0.00056208
idle,1,13,0.00055703
idle,1,14,0.0005524
idle,1,15,0.00054799
idle,1,16,0.00054845
idle,1,17,0.00055046
idle,1,18,0.00054849
idle,1,19,0.00054416
idle,1,20,0.00053672
idle,1,21,0.00052751
idle,1,22,0.0005221
idle,1,23,0.00051985
idle,1,24,0.00051576
idle,1,25,0.0005098
idle,1,26,0.00050064
idle,1,27,0.00048953
idle,1,28,0.00048607
idle,1,29,0.00048213
idle,1,30,0.00047847
idle,1,31,0.00047118
idle,1,32,0.00046309
idle,1,33,0.00045287
idle,1,34,0.00044449
idle,1,35,0.00044302
idle,1,36,0.00043687
idle,1,37,0.00043171
idle,1,38,0.00041983
idle,1,39,0.00040925
idle,1,40,0.00040003
idle,1,41,0.00039208
idle,1,42,0.0003857
idle,1,43,0.00037846
idle,1,44,0.0003638
idle,1,45,0.00035225
idle,1,46,0.00034138
idle,1,47,0.0003332
idle,1,48,0.00032463
idle,1,49,0.00032888
idle,1,50,0.00033347
idle,1,51,0.00033771
idle,1,52,0.00034314
idle,1,53,0.00034934
idle,1,54,0.00035555
idle,1,55,0.00036182
idle,1,56,0.00036807
idle,1,57,0.00037436
idle,1,58,0.00038071
idle,1,59,0.0003873
idle,1,60,0.00039388
idle,1,61,0.00040047
idle,1,62,0.00040704
idle,1,63,0.00041362
idle,1,64,0.00042021
idle,1,65,0.00042686
idle,1,66,0.00043353
idle,1,67,0.00044018
idle,1,68,0.00044682
idle,1,69,0.00045346
idle,1,70,0.00046013
idle,1,71,0.0004668
idle,1,72,0.00047346
idle,1,73,0.00048013
idle,1,74,0.0004868
idle,1,75,0.00049346
idle,1,76,0.00050013
idle,1,77,0.0005068
idle,1,78,0.00051346
idle,1,79,0.00052013
idle,1,80,0.0005268
idle,1,81,0.0005334
idle,1,82,0.00054006
idle,1,83,0.00054673
idle,1,84,0.0005534
idle,1,85,0.00056006
idle,1,86,0.00056673
idle,1,87,0.0005734
idle,1,88,0.00058005
idle,1,89,0.00058667
idle,1,90,0.00059333
idle,1,91,0.0006
idle,1,92,0.00060667
idle,1,93,0.00061333
idle,1,94,0.00062
idle,1,95,0.00062667
idle,2,0,0.00062723
idle,2,1,0.00062056
idle,2,2,0.0006139
idle,2,3,0.00060723
idle,2,4,0.00060079
idle,2,5,0.00059444
idle,2,6,0.00058805
idle,2,7,0.00058171
idle,2,8,0.00057535
idle,2,9,0.0005693
idle,2,10,0.00056411
idle,2,11,0.00055923
idle,2,12,0.00055437
idle,2,13,0.00054921
idle,2,14,0.00054444
idle,2,15,0.0005405
idle,2,16,0.00054234
idle,2,17,0.00054128
idle,2,18,0.00053639
idle,2,19,0.000531
idle,2,20,0.00052244
idle,2,21,0.00051143
idle,2,22,0.00050738
idle,2,23,0.00050365
idle,2,24,0.00049965
idle,2,25,0.00049313
idle,2,26,0.00048655
idle,2,27,0.00047395
idle,2,28,0.00046748
idle,2,29,0.00046501
idle,2,30,0.00046023
idle,2,31,0.00044975
idle,2,32,0.00044452
idle,2,33,0.00043487
idle,2,34,0.00042872
idle,2,35,0.00042664
idle,2,36,0.00042221
idle,2,37,0.00041523
idle,2,38,0.00040488
idle,2,39,0.00039453
idle,2,40,0.00038779
idle,2,41,0.00038478
idle,2,42,0.00037797
idle,2,43,0.00036905
idle,2,44,0.00036046
idle,2,45,0.00034306
idle,2,46,0.00033185
idle,2,47,0.00032405
idle,2,48,0.00031483
idle,2,49,0.00032071
idle,2,50,0.00032502
idle,2,51,0.00033018
idle,2,52,0.00033571
