path_id,endpoint,clock_domain,slack_ns,delay_ns,inst_ids
0,u_seq_core.addr_q[17]$_DFFE_PN0P_,clk_core,4.28,-1.08,23460;23656;23670;23672;23677;40511;41355;41369;41370;41373;48110;48190;48196;48286;48290;50125;77987;117666;117668;117669;117670;117671;117672;117673;117674;117675;117676;117677;117678;117679;117680;117681
1,u_seq_core.addr_q[21]$_DFFE_PN0P_,clk_core,4.28,-1.08,23460;23656;23670;23672;23677;40511;41355;41369;41370;41373;48110;48190;48196;48286;48290;50125;77987;117666;117668;117669;117670;117671;117672;117673;117674;117675;117676;117677;117678;117679;117680;117681
2,u_seq_core.addr_q[28]$_DFFE_PN0P_,clk_core,4.28,-1.08,23460;23656;23670;23672;23677;40511;41355;41369;41370;41373;48110;48190;48196;48286;48290;50125;77987;117666;117668;117669;117670;117671;117672;117673;117674;117675;117676;117677;117678;117679;117680;117681
3,u_seq_core.addr_q[23]$_DFFE_PN0P_,clk_core,4.28,-1.08,23460;23656;23670;23672;23677;40477;41355;41369;41370;41373;48110;48190;48196;48286;48290;50125;77987;117666;117668;117669;117670;117671;117672;117673;117674;117675;117676;117677;117678;117679;117680;117681
4,u_seq_core.addr_q[4]$_DFFE_PN0P_,clk_core,4.28,-1.08,23460;23656;23670;23672;23677;40477;41355;41369;41370;41373;48110;48190;48196;48286;48290;50125;77987;117666;117668;117669;117670;117671;117672;117673;117674;117675;117676;117677;117678;117679;117680;117681
5,u_seq_core.addr_q[5]$_DFFE_PN0P_,clk_core,4.28,-1.08,23460;23656;23670;23672;23677;40477;41355;41369;41370;41373;48110;48190;48196;48286;48290;50125;77987;117666;117668;117669;117670;117671;117672;117673;117674;117675;117676;117677;117678;117679;117680;117681
6,u_seq_core.addr_q[6]$_DFFE_PN0P_,clk_core,4.28,-1.08,23460;23656;23670;23672;23677;40477;41355;41369;41370;41373;48110;48190;48196;48286;48290;50125;77987;117666;117668;117669;117670;117671;117672;117673;117674;117675;117676;117677;117678;117679;117680;117681
7,u_seq_core.addr_q[31]$_DFFE_PN0P_,clk_core,4.28,-1.08,23457;23656;23670;23672;23677;40478;41355;41369;41370;41373;48110;48190;48196;48286;48290;50125;77987;117666;117668;117669;117670;117671;117672;117673;117674;117675;117676;117677;117678;117679;117680;117681
8,u_seq_core.addr_q[22]$_DFFE_PN0P_,clk_core,4.28,-1.08,23459;23656;23670;23672;23677;40500;41355;41369;41370;41373;48110;48190;48196;48286;48290;50125;77987;117666;117668;117669;117670;117671;117672;117673;117674;117675;117676;117677;117678;117679;117680;117681
9,u_seq_core.addr_q[14]$_DFFE_PN0P_,clk_core,4.39,-0.97,23480;23656;23670;23672;23677;40675;41355;41369;41370;41373;48184;48198;48286;48290;50125;77987;117666;117668;117669;117670;117671;117672;117673;117674;117675;117676;117677;117678;117679;117680;117681
