path_id,endpoint,clock_domain,slack_ns,delay_ns,inst_ids
0,g_chan[0].u_cdc_chr.rbin[0]$_DFF_PN0_,clk_core,4.29,-0.99,3462;3696;3706;5917;7711;7715;7717;7718;9547;10311;10319;10611;10655;14233;14564;18231;28097;28098;28099;28100;28101;28102;28103;28104;28106;28108
1,g_chan[0].u_cdc_chr.rbin[1]$_DFF_PN0_,clk_core,4.29,-0.99,3462;3696;3706;5917;7711;7715;7717;7718;9547;10311;10319;10611;10655;14233;14564;18231;28097;28098;28099;28100;28101;28102;28103;28104;28106;28108
2,g_chan[0].u_cdc_chr.rbin[2]$_DFF_PN0_,clk_core,4.29,-0.99,3462;3696;3706;5917;7711;7715;7717;7718;9547;10311;10319;10611;10655;14233;14564;18231;28097;28098;28099;28100;28101;28102;28103;28104;28106;28108
3,g_chan[0].u_cdc_chr.rbin[3]$_DFF_PN0_,clk_core,4.29,-0.99,3462;3696;3706;5917;7711;7715;7717;7718;9547;10311;10319;10611;10655;14233;14564;18231;28097;28098;28099;28100;28101;28102;28103;28104;28106;28108
4,u_dma_fabric.rbeat_data[10]$_DFFE_PN0P_,clk_core,4.29,-0.99,3462;3696;3706;5917;7711;7715;7717;7718;9547;10311;10319;10611;10655;14233;14564;18231;28097;28098;28099;28100;28101;28102;28103;28104;28106;28108
5,u_dma_fabric.rbeat_data[15]$_DFFE_PN0P_,clk_core,4.29,-0.99,3462;3696;3706;5917;7711;7715;7717;7718;9547;10311;10319;10611;10655;14233;14564;18231;28097;28098;28099;28100;28101;28102;28103;28104;28106;28108
6,g_chan[0].u_cdc_chr.rgray[0]$_DFF_PN0_,clk_core,4.29,-0.99,3462;3696;3706;5906;7711;7715;7717;7718;9547;10311;10319;10611;10655;14233;14564;18231;28097;28098;28099;28100;28101;28102;28103;28104;28106;28108
7,g_chan[0].u_cdc_chr.rq1_wgray[0]$_DFF_PN0_,clk_core,4.29,-0.99,3462;3696;3706;5906;7711;7715;7717;7718;9547;10311;10319;10611;10655;14233;14564;18231;28097;28098;28099;28100;28101;28102;28103;28104;28106;28108
8,g_chan[0].u_cdc_chr.rq1_wgray[1]$_DFF_PN0_,clk_core,4.29,-0.99,3462;3696;3706;5906;7711;7715;7717;7718;9547;10311;10319;10611;10655;14233;14564;18231;28097;28098;28099;28100;28101;28102;28103;28104;28106;28108
9,g_chan[0].u_cdc_chr.rq1_wgray[2]$_DFF_PN0_,clk_core,4.29,-0.99,3462;3696;3706;5906;7711;7715;7717;7718;9547;10311;10319;10611;10655;14233;14564;18231;28097;28098;28099;28100;28101;28102;28103;28104;28106;28108
10,g_chan[0].u_cdc_chr.rq1_wgray[3]$_DFF_PN0_,clk_core,4.29,-0.99,3462;3696;3706;5906;7711;7715;7717;7718;9547;10311;10319;10611;10655;14233;14564;18231;28097;28098;28099;28100;28101;28102;28103;28104;28106;28108
11,g_chan[0].u_cdc_chr.rq1_wgray[4]$_DFF_PN0_,clk_core,4.29,-0.99,3462;3696;3706;5906;7711;7715;7717;7718;9547;10311;10319;10611;10655;14233;14564;18231;28097;28098;28099;28100;28101;28102;28103;28104;28106;28108
12,g_chan[0].u_cdc_chr.rq2_wgray[0]$_DFF_PN0_,clk_core,4.29,-0.99,3462;3696;3706;5906;7711;7715;7717;7718;9547;10311;10319;10611;10655;14233;14564;18231;28097;28098;28099;28100;28101;28102;28103;28104;28106;28108
13,g_chan[0].u_cdc_chr.rq2_wgray[1]$_DFF_PN0_,clk_core,4.29,-0.99,3462;3696;3706;5906;7711;7715;7717;7718;9547;10311;10319;10611;10655;14233;14564;18231;28097;28098;28099;28100;28101;28102;28103;28104;28106;28108
14,g_chan[0].u_cdc_chr.rbin[4]$_DFF_PN0_,clk_core,4.29,-0.99,3464;3696;3706;5908;7711;7715;7717;7718;9547;10311;10319;10611;10655;14233;14564;18231;28097;28098;28099;28100;28101;28102;28103;28104;28106;28108
15,g_chan[0].u_cdc_chr.rgray[1]$_DFF_PN0_,clk_core,4.29,-0.99,3464;3696;3706;5908;7711;7715;7717;7718;9547;10311;10319;10611;10655;14233;14564;18231;28097;28098;28099;28100;28101;28102;28103;28104;28106;28108
16,g_chan[0].u_cdc_chr.rgray[2]$_DFF_PN0_,clk_core,4.29,-0.99,3464;3696;3706;5908;7711;7715;7717;7718;9547;10311;10319;10611;10655;14233;14564;18231;28097;28098;28099;28100;28101;28102;28103;28104;28106;28108
17,g_chan[0].u_cdc_chr.rgray[3]$_DFF_PN0_,clk_core,4.29,-0.99,3464;3696;3706;5908;7711;7715;7717;7718;9547;10311;10319;10611;10655;14233;14564;18231;28097;28098;28099;28100;28101;28102;28103;28104;28106;28108
18,g_chan[0].u_cdc_chr.rq2_wgray[2]$_DFF_PN0_,clk_core,4.29,-0.99,3464;3696;3706;5908;7711;7715;7717;7718;9547;10311;10319;10611;10655;14233;14564;18231;28097;28098;28099;28100;28101;28102;28103;28104;28106;28108
19,g_chan[0].u_cdc_chr.rq2_wgray[3]$_DFF_PN0_,clk_core,4.29,-0.99,3464;3696;3706;5908;7711;7715;7717;7718;9547;10311;10319;10611;10655;14233;14564;18231;28097;28098;28099;28100;28101;28102;28103;28104;28106;28108
20,g_chan[0].u_cdc_chr.rq2_wgray[4]$_DFF_PN0_,clk_core,4.29,-0.99,3464;3696;3706;5908;7711;7715;7717;7718;9547;10311;10319;10611;10655;14233;14564;18231;28097;28098;28099;28100;28101;28102;28103;28104;28106;28108
21,g_chan[0].u_cdc_chr.rd_empty$_DFF_PN1_,clk_core,4.41,-0.87,3532;3696;3706;5263;7711;7715;7717;7718;9547;10311;10319;10611;14233;14564;18231;28097;28098;28099;28100;28101;28102;28103;28104;28106;28108
22,u_dma_fabric.rbeat_data[12]$_DFFE_PN0P_,clk_core,4.42,-0.87,3462;3696;3706;5824;7711;7715;7717;7718;9547;10311;10319;10611;14233;14564;18231;28097;28098;28099;28100;28101;28102;28103;28104;28106;28108
23,u_dma_fabric.rbeat_data[13]$_DFFE_PN0P_,clk_core,4.42,-0.87,3462;3696;3706;5824;7711;7715;7717;7718;9547;10311;10319;10611;14233;14564;18231;28097;28098;28099;28100;28101;28102;28103;28104;28106;28108
24,u_dma_fabric.rbeat_data[14]$_DFFE_PN0P_,clk_core,4.42,-0.87,3462;3696;3706;5824;7711;7715;7717;7718;9547;10311;10319;10611;14233;14564;18231;28097;28098;28099;28100;28101;28102;28103;28104;28106;28108
25,u_dma_fabric.rbeat_data[16]$_DFFE_PN0P_,clk_core,4.42,-0.87,3462;3696;3706;5824;7711;7715;7717;7718;9547;10311;10319;10611;14233;14564;18231;28097;28098;28099;28100;28101;28102;28103;28104;28106;28108
26,u_dma_fabric.rbeat_data[17]$_DFFE_PN0P_,clk_core,4.42,-0.87,3462;3696;3706;5824;7711;7715;7717;7718;9547;10311;10319;10611;14233;14564;18231;28097;28098;28099;28100;28101;28102;28103;28104;28106;28108
27,u_dma_fabric.rbeat_data[20]$_DFFE_PN0P_,clk_core,4.42,-0.87,3462;3696;3706;5824;7711;7715;7717;7718;9547;10311;10319;10611;14233;14564;18231;28097;28098;28099;28100;28101;28102;28103;28104;28106;28108
28,u_dma_fabric.rbeat_data[9]$_DFFE_PN0P_,clk_core,4.42,-0.87,3462;3696;3706;5824;7711;7715;7717;7718;9547;10311;10319;10611;14233;14564;18231;28097;28098;28099;28100;28101;28102;28103;28104;28106;28108
29,u_dma_fabric.rbeat_data[11]$_DFFE_PN0P_,clk_core,4.42,-0.87,3466;3696;3706;5280;7711;7715;7717;7718;9547;10311;10319;10611;14233;14564;18231;28097;28098;28099;28100;28101;28102;28103;28104;28106;28108
30,u_dma_fabric.rbeat_data[19]$_DFFE_PN0P_,clk_core,4.42,-0.87,3466;3696;3706;5280;7711;7715;7717;7718;9547;10311;10319;10611;14233;14564;18231;28097;28098;28099;28100;28101;28102;28103;28104;28106;28108
31,u_dma_fabric.rbeat_data[21]$_DFFE_PN0P_,clk_core,4.42,-0.87,3466;3696;3706;5280;7711;7715;7717;7718;9547;10311;10319;10611;14233;14564;18231;28097;28098;28099;28100;28101;28102;28103;28104;28106;28108
32,u_dma_fabric.rbeat_data[27]$_DFFE_PN0P_,clk_core,4.42,-0.87,3472;3696;3706;5343;7711;7715;7717;7718;9547;10311;10319;10611;14233;14564;18231;28097;28098;28099;28100;28101;28102;28103;28104;28106;28108
33,u_dma_fabric.rbeat_data[4]$_DFFE_PN0P_,clk_core,4.42,-0.87,3472;3696;3706;5343;7711;7715;7717;7718;9547;10311;10319;10611;14233;14564;18231;28097;28098;28099;28100;28101;28102;28103;28104;28106;28108
34,u_dma_fabric.rbeat_data[5]$_DFFE_PN0P_,clk_core,4.42,-0.87,3472;3696;3706;5343;7711;7715;7717;7718;9547;10311;10319;10611;14233;14564;18231;28097;28098;28099;28100;28101;28102;28103;28104;28106;28108
35,u_dma_fabric.rbeat_data[18]$_DFFE_PN0P_,clk_core,4.42,-0.87,3472;3696;3706;5282;7711;7715;7717;7718;9547;10311;10319;10611;14233;14564;18231;28097;28098;28099;28100;28101;28102;28103;28104;28106;28108
