bump_id,x_um,y_um
0,222.11,426.2
1,222.11,402.2
2,222.11,378.2
3,222.11,354.2
4,222.11,330.2
5,222.11,306.2
6,222.11,282.2
7,222.11,258.2
8,222.11,234.2
9,222.11,210.2
10,222.11,186.2
11,222.11,162.2
12,222.11,138.2
13,222.11,114.2
14,222.11,90.2
15,222.11,66.2
16,222.11,42.2
17,222.11,18.2
18,222.11,438.2
19,222.11,414.2
20,222.11,390.2
21,222.11,366.2
22,222.11,342.2
23,222.11,318.2
24,222.11,294.2
25,222.11,270.2
26,222.11,246.2
27,222.11,222.2
28,222.11,198.2
29,222.11,174.2
30,222.11,150.2
31,222.11,126.2
32,222.11,102.2
33,222.11,78.2
34,222.11,54.2
35,222.11,30.2
36,222.11,6.2
