inst_id,inst_name,module,cell_type,x_um,y_um,area_um2,cap_ff,is_seq,is_clk,is_macro
0,_27275_,ch_ctrl,XNOR2_X1,266.57,318.5,1.596,3.511,0,0,0
1,_27276_,ch_ctrl,XNOR2_X1,298.87,210.7,1.596,3.511,0,0,0
2,_27277_,ch_ctrl,INV_X1,297.92,209.3,0.532,1.17,0,0,0
3,_27278_,ch_ctrl,INV_X1,295.83,207.9,0.532,1.17,0,0,0
4,_27279_,ch_ctrl,AOI21_X1,297.16,207.9,1.064,2.341,0,0,0
5,_27280_,ch_ctrl,OAI21_X1,297.35,209.3,1.064,2.341,0,0,0
6,_27281_,ch_ctrl,XNOR2_X1,298.68,209.3,1.596,3.511,0,0,0
7,clkbuf_leaf_14_clk_nand,ch_ctrl,CLKBUF_X3,250.705,207.9,1.33,2.926,0,1,0
8,clkbuf_leaf_13_clk_nand,ch_ctrl,CLKBUF_X3,240.445,216.3,1.33,2.926,0,1,0
9,_27284_,host_if,NAND3_X1,385.32,167.3,1.064,2.341,0,0,0
10,_27285_,host_if,XOR2_X1,385.51,158.9,1.596,3.511,0,0,0
11,_27286_,host_if,INV_X1,383.8,157.5,0.532,1.17,0,0,0
12,_27287_,ch_ctrl,INV_X1,305.14,206.5,0.532,1.17,0,0,0
13,clkbuf_leaf_12_clk_nand,ch_ctrl,CLKBUF_X3,233.985,221.9,1.33,2.926,0,1,0
14,clkbuf_leaf_11_clk_nand,ch_ctrl,CLKBUF_X3,225.055,233.1,1.33,2.926,0,1,0
15,clkbuf_leaf_10_clk_nand,ch_ctrl,CLKBUF_X3,231.705,242.9,1.33,2.926,0,1,0
16,_27291_,host_if,NAND3_X1,398.62,160.3,1.064,2.341,0,0,0
17,_27292_,host_if,XOR2_X1,397.67,160.3,1.596,3.511,0,0,0
18,_27293_,host_if,INV_X1,400.14,157.5,0.532,1.17,0,0,0
19,clkbuf_leaf_9_clk_nand,ch_ctrl,CLKBUF_X3,239.685,237.3,1.33,2.926,0,1,0
20,clkbuf_leaf_8_clk_nand,ch_ctrl,CLKBUF_X3,237.785,251.3,1.33,2.926,0,1,0
21,clkbuf_leaf_7_clk_nand,ch_ctrl,CLKBUF_X3,241.965,262.5,1.33,2.926,0,1,0
22,_27297_,ch_ctrl,NAND3_X1,215.08,331.1,1.064,2.341,0,0,0
23,_27298_,ch_ctrl,XOR2_X1,215.84,328.3,1.596,3.511,0,0,0
24,_27299_,ch_ctrl,INV_X1,217.17,326.9,0.532,1.17,0,0,0
25,_27300_,ch_ctrl,INV_X1,212.99,326.9,0.532,1.17,0,0,0
26,clkbuf_leaf_6_clk_nand,ch_ctrl,CLKBUF_X3,233.415,263.9,1.33,2.926,0,1,0
27,clkbuf_leaf_5_clk_nand,ch_ctrl,CLKBUF_X3,224.865,265.3,1.33,2.926,0,1,0
28,clkbuf_leaf_4_clk_nand,ch_ctrl,CLKBUF_X3,225.055,251.3,1.33,2.926,0,1,0
29,clkbuf_leaf_3_clk_nand,ch_ctrl,CLKBUF_X3,207.955,220.5,1.33,2.926,0,1,0
30,clkbuf_leaf_2_clk_nand,ch_ctrl,CLKBUF_X3,203.205,213.5,1.33,2.926,0,1,0
31,_27306_,ch_ctrl,NAND3_X1,215.84,331.1,1.064,2.341,0,0,0
32,_27307_,ch_ctrl,XNOR2_X1,215.84,329.7,1.596,3.511,0,0,0
33,_27308_,ch_ctrl,INV_X1,214.51,329.7,0.532,1.17,0,0,0
34,_27309_,ch_ctrl,XOR2_X1,216.98,331.1,1.596,3.511,0,0,0
35,clkbuf_leaf_1_clk_nand,ch_ctrl,CLKBUF_X3,213.465,192.5,1.33,2.926,0,1,0
36,_27311_,host_if,XOR2_X1,105.64,214.9,1.596,3.511,0,0,0
37,clkbuf_leaf_0_clk_nand,ch_ctrl,CLKBUF_X3,209.475,207.9,1.33,2.926,0,1,0
38,clkload687,host_if,CLKBUF_X1,412.965,304.5,0.798,1.756,0,1,0
39,clkload686,host_if,CLKBUF_X2,409.45,312.9,1.064,2.341,0,1,0
40,_27315_,ch_ctrl,XOR2_X1,319.58,198.1,1.596,3.511,0,0,0
41,_27316_,ch_ctrl,INV_X1,307.99,207.9,0.532,1.17,0,0,0
42,clkload685,host_if,CLKBUF_X1,398.905,298.9,0.798,1.756,0,1,0
43,clkload684,ch_ctrl,INV_X2,395.485,293.3,0.798,1.756,0,0,0
44,_27319_,host_if,NAND3_X1,111.34,226.1,1.064,2.341,0,0,0
45,_27320_,host_if,XOR2_X1,116.66,217.7,1.596,3.511,0,0,0
46,_27321_,host_if,INV_X1,117.42,217.7,0.532,1.17,0,0,0
47,clkload683,host_if,CLKBUF_X1,400.045,310.1,0.798,1.756,0,1,0
48,clkload682,ch_ctrl,INV_X2,302.385,321.3,0.798,1.756,0,0,0
49,clkload681,host_if,INV_X1,434.72,282.1,0.532,1.17,0,0,0
50,_27325_,host_if,MUX2_X1,131.765,186.9,1.862,4.096,0,0,0
51,clkload680,host_if,CLKBUF_X1,427.975,287.7,0.798,1.756,0,1,0
52,clkload679,host_if,CLKBUF_X1,428.735,296.1,0.798,1.756,0,1,0
53,_27328_,host_if,MUX2_X1,135.755,186.9,1.862,4.096,0,0,0
54,clkload678,host_if,CLKBUF_X1,429.115,310.1,0.798,1.756,0,1,0
55,clkload677,host_if,CLKBUF_X1,420.185,304.5,0.798,1.756,0,1,0
56,clkload676,host_if,INV_X1,421.8,321.3,0.532,1.17,0,0,0
57,_27332_,host_if,MUX2_X1,133.095,186.9,1.862,4.096,0,0,0
58,_27333_,host_if,MUX2_X1,129.675,199.5,1.862,4.096,0,0,0
59,clkload675,host_if,CLKBUF_X1,415.245,275.1,0.798,1.756,0,1,0
60,clkload674,host_if,CLKBUF_X1,415.245,284.9,0.798,1.756,0,1,0
61,_27336_,host_if,MUX2_X1,131.955,199.5,1.862,4.096,0,0,0
62,clkload673,host_if,CLKBUF_X1,421.705,275.1,0.798,1.756,0,1,0
63,clkload672,host_if,INV_X1,409.07,293.3,0.532,1.17,0,0,0
64,_27339_,host_if,MUX2_X1,133.285,199.5,1.862,4.096,0,0,0
65,clkload671,host_if,CLKBUF_X1,402.325,290.5,0.798,1.756,0,1,0
66,clkload670,host_if,CLKBUF_X1,414.485,231.7,0.798,1.756,0,1,0
67,clkload669,host_if,INV_X1,424.08,238.7,0.532,1.17,0,0,0
68,clkload668,host_if,INV_X1,432.25,258.3,0.532,1.17,0,0,0
69,_27344_,host_if,MUX2_X1,134.045,196.7,1.862,4.096,0,0,0
70,_27345_,host_if,MUX2_X1,146.585,200.9,1.862,4.096,0,0,0
71,clkload667,host_if,INV_X1,425.98,262.5,0.532,1.17,0,0,0
72,clkload666,host_if,CLKBUF_X1,420.755,252.7,0.798,1.756,0,1,0
73,_27348_,host_if,MUX2_X1,149.435,199.5,1.862,4.096,0,0,0
74,clkload665,host_if,CLKBUF_X1,432.725,272.3,0.798,1.756,0,1,0
75,_27350_,host_if,MUX2_X1,148.105,199.5,1.862,4.096,0,0,0
76,_27351_,host_if,MUX2_X1,146.775,188.3,1.862,4.096,0,0,0
77,clkload664,host_if,CLKBUF_X1,394.345,255.5,0.798,1.756,0,1,0
78,clkload663,host_if,CLKBUF_X1,413.535,254.1,0.798,1.756,0,1,0
79,_27354_,host_if,MUX2_X1,146.775,193.9,1.862,4.096,0,0,0
