scenario,fy,fx,drop_v
idle,0,0,0.00064049
idle,0,1,0.00063382
idle,0,2,0.00062715
idle,0,3,0.00062049
idle,0,4,0.00061385
idle,0,5,0.00060725
idle,0,6,0.00060065
idle,0,7,0.00059398
idle,0,8,0.00058745
idle,0,9,0.00058084
idle,0,10,0.00057431
idle,0,11,0.00056764
idle,0,12,0.0005611
idle,0,13,0.0005546
idle,0,14,0.00054813
idle,0,15,0.0005416
idle,0,16,0.00053515
idle,0,17,0.0005286
idle,0,18,0.00052199
idle,0,19,0.00051544
idle,0,20,0.00050896
idle,0,21,0.0005024
idle,0,22,0.00049587
idle,0,23,0.00048933
idle,0,24,0.00048273
idle,0,25,0.00047614
idle,0,26,0.00046959
idle,0,27,0.00046299
idle,0,28,0.00045645
idle,0,29,0.00044978
idle,0,30,0.00044315
idle,0,31,0.00043639
idle,0,32,0.00042965
idle,0,33,0.00042292
idle,0,34,0.0004162
idle,0,35,0.00040947
idle,0,36,0.00040279
idle,0,37,0.00039613
idle,0,38,0.00038944
idle,0,39,0.00038273
idle,0,40,0.00037613
idle,0,41,0.00036949
idle,0,42,0.00036292
idle,0,43,0.00035637
idle,0,44,0.00034983
idle,0,45,0.00034318
idle,0,46,0.00033654
idle,0,47,0.00032988
idle,0,48,0.00032321
idle,0,49,0.00032991
idle,0,50,0.00033658
idle,0,51,0.00034313
idle,0,52,0.00034972
idle,0,53,0.0003563
idle,0,54,0.00036286
idle,0,55,0.00036952
idle,0,56,0.00037606
idle,0,57,0.00038265
idle,0,58,0.0003892
idle,0,59,0.00039583
idle,0,60,0.00040242
idle,0,61,0.00040907
idle,0,62,0.0004158
idle,0,63,0.00042253
idle,0,64,0.0004292
idle,0,65,0.00043593
idle,0,66,0.00044266
idle,0,67,0.00044933
idle,0,68,0.000456
idle,0,69,0.00046266
idle,0,70,0.00046933
idle,0,71,0.00047593
idle,0,72,0.00048253
idle,0,73,0.00048899
idle,0,74,0.00049546
idle,0,75,0.00050188
idle,0,76,0.00050848
idle,0,77,0.00051494
idle,0,78,0.00052136
idle,0,79,0.00052782
idle,0,80,0.00053431
idle,0,81,0.00054082
idle,0,82,0.00054738
idle,0,83,0.00055392
idle,0,84,0.00056047
idle,0,85,0.00056706
idle,0,86,0.00057366
idle,0,87,0.00058026
idle,0,88,0.00058688
idle,0,89,0.00059353
idle,0,90,0.00060019
idle,0,91,0.0006068
idle,0,92,0.00061346
idle,0,93,0.00062013
idle,0,94,0.0006268
idle,0,95,0.00063346
idle,1,0,0.00063382
idle,1,1,0.00062715
idle,1,2,0.00062049
idle,1,3,0.00061382
idle,1,4,0.00060719
idle,1,5,0.00060058
idle,1,6,0.00059398
idle,1,7,0.00058732
idle,1,8,0.00058078
idle,1,9,0.00057418
idle,1,10,0.00056764
idle,1,11,0.00056097
idle,1,12,0.00055444
idle,1,13,0.00054793
idle,1,14,0.00054147
idle,1,15,0.00053494
idle,1,16,0.00052848
idle,1,17,0.00052193
idle,1,18,0.00051532
idle,1,19,0.00050877
idle,1,20,0.0005023
idle,1,21,0.00049574
idle,1,22,0.0004892
idle,1,23,0.00048266
idle,1,24,0.00047606
idle,1,25,0.00046948
idle,1,26,0.00046292
idle,1,27,0.00045632
idle,1,28,0.00044978
idle,1,29,0.00044312
idle,1,30,0.00043648
idle,1,31,0.00042972
idle,1,32,0.00042299
idle,1,33,0.00041626
idle,1,34,0.00040954
idle,1,35,0.00040281
idle,1,36,0.00039613
idle,1,37,0.00038946
idle,1,38,0.00038278
idle,1,39,0.00037606
idle,1,40,0.00036946
idle,1,41,0.00036282
idle,1,42,0.00035626
idle,1,43,0.0003497
idle,1,44,0.00034316
idle,1,45,0.00033652
idle,1,46,0.00032987
idle,1,47,0.00032321
idle,1,48,0.00031655
idle,1,49,0.00032325
idle,1,50,0.00032991
idle,1,51,0.00033647
idle,1,52,0.00034305
idle,1,53,0.00034964
idle,1,54,0.00035619
idle,1,55,0.00036286
idle,1,56,0.00036939
idle,1,57,0.00037598
idle,1,58,0.00038253
idle,1,59,0.00038917
idle,1,60,0.00039576
idle,1,61,0.0004024
idle,1,62,0.00040913
idle,1,63,0.00041587
idle,1,64,0.00042253
idle,1,65,0.00042926
idle,1,66,0.000436
idle,1,67,0.00044266
idle,1,68,0.00044933
idle,1,69,0.000456
idle,1,70,0.00046266
idle,1,71,0.00046926
idle,1,72,0.00047587
idle,1,73,0.00048232
idle,1,74,0.00048879
idle,1,75,0.00049522
idle,1,76,0.00050182
idle,1,77,0.00050827
idle,1,78,0.0005147
idle,1,79,0.00052115
idle,1,80,0.00052764
idle,1,81,0.00053416
idle,1,82,0.00054071
idle,1,83,0.00054725
idle,1,84,0.0005538
idle,1,85,0.00056039
idle,1,86,0.00056699
idle,1,87,0.00057359
idle,1,88,0.00058021
idle,1,89,0.00058686
idle,1,90,0.00059353
idle,1,91,0.00060013
idle,1,92,0.0006068
idle,1,93,0.00061346
idle,1,94,0.00062013
idle,1,95,0.0006268
idle,2,0,0.00062712
idle,2,1,0.00062045
idle,2,2,0.00061379
idle,2,3,0.00060712
idle,2,4,0.00060045
idle,2,5,0.00059392
idle,2,6,0.00058732
idle,2,7,0.00058065
idle,2,8,0.00057405
idle,2,9,0.00056751
idle,2,10,0.00056097
idle,2,11,0.00055431
idle,2,12,0.00054771
idle,2,13,0.00054117
idle,2,14,0.00053463
idle,2,15,0.00052797
idle,2,16,0.00052149
idle,2,17,0.00051496
idle,2,18,0.00050848
idle,2,19,0.00050201
idle,2,20,0.00049535
idle,2,21,0.00048894
idle,2,22,0.00048253
idle,2,23,0.00047645
idle,2,24,0.0004703
idle,2,25,0.00046331
idle,2,26,0.00045757
idle,2,27,0.00045128
idle,2,28,0.0004445
idle,2,29,0.00043764
idle,2,30,0.0004312
idle,2,31,0.00042476
idle,2,32,0.00041807
idle,2,33,0.00041066
idle,2,34,0.00040312
idle,2,35,0.00039639
idle,2,36,0.00038965
idle,2,37,0.00038292
idle,2,38,0.00037619
idle,2,39,0.00036946
idle,2,40,0.00036276
idle,2,41,0.00035622
idle,2,42,0.00034965
idle,2,43,0.00034305
idle,2,44,0.00033645
idle,2,45,0.00032991
idle,2,46,0.00032325
idle,2,47,0.00031658
idle,2,48,0.00030991
idle,2,49,0.00031658
idle,2,50,0.00032325
idle,2,51,0.00032982
idle,2,52,0.00033639
idle,2,53,0.00034299
idle,2,54,0.00034952
idle,2,55,0.00035619
idle,2,56,0.00036273
idle,2,57,0.0003693
idle,2,58,0.00037587
idle,2,59,0.00038253
idle,2,60,0.00038907
idle,2,61,0.0003957
idle,2,62,0.00040247
idle,2,63,0.0004092
idle,2,64,0.00041587
idle,2,65,0.0004226
idle,2,66,0.00042933
idle,2,67,0.000436
idle,2,68,0.00044266
idle,2,69,0.00045019
idle,2,70,0.00045606
idle,2,71,0.00046266
idle,2,72,0.00047043
idle,2,73,0.0004757
idle,2,74,0.00048211
idle,2,75,0.00048855
idle,2,76,0.00049515
idle,2,77,0.00050159
idle,2,78,0.00050805
idle,2,79,0.00051447
idle,2,80,0.00052091
idle,2,81,0.00052751
idle,2,82,0.00053402
idle,2,83,0.00054055
idle,2,84,0.00054712
idle,2,85,0.00055366
idle,2,86,0.00056032
idle,2,87,0.00056693
idle,2,88,0.00057353
idle,2,89,0.00058019
idle,2,90,0.0005868
idle,2,91,0.00059346
idle,2,92,0.00060013
idle,2,93,0.0006068
idle,2,94,0.00061346
idle,2,95,0.00062011
idle,3,0,0.00062041
idle,3,1,0.00061376
idle,3,2,0.00060709
idle,3,3,0.00060042
idle,3,4,0.00059379
idle,3,5,0.00058719
idle,3,6,0.00058062
idle,3,7,0.00057395
idle,3,8,0.00056738
idle,3,9,0.00056081
idle,3,10,0.00055424
idle,3,11,0.00054758
idle,3,12,0.00054104
idle,3,13,0.00053447
idle,3,14,0.00052793
idle,3,15,0.00052127
idle,3,16,0.00051479
idle,3,17,0.00050832
idle,3,18,0.00050185
idle,3,19,0.00049557
idle,3,20,0.00048891
idle,3,21,0.00048295
idle,3,22,0.00047695
idle,3,23,0.00047052
idle,3,24,0.00046395
idle,3,25,0.00045768
idle,3,26,0.00045147
idle,3,27,0.00044491
idle,3,28,0.00043827
idle,3,29,0.00043121
idle,3,30,0.00042457
idle,3,31,0.00041918
idle,3,32,0.00041274
idle,3,33,0.00040522
idle,3,34,0.00039793
idle,3,35,0.00039067
idle,3,36,0.00038383
idle,3,37,0.00037667
idle,3,38,0.00036995
idle,3,39,0.00036305
idle,3,40,0.00035662
idle,3,41,0.00035069
idle,3,42,0.00034481
idle,3,43,0.000338
idle,3,44,0.00033223
idle,3,45,0.00032468
idle,3,46,0.00031872
idle,3,47,0.00031199
idle,3,48,0.00030631
idle,3,49,0.00031171
idle,3,50,0.0003182
idle,3,51,0.00032494
idle,3,52,0.0003312
idle,3,53,0.00033715
idle,3,54,0.0003433
idle,3,55,0.00034946
idle,3,56,0.00035617
idle,3,57,0.00036273
idle,3,58,0.00036923
idle,3,59,0.00037574
idle,3,60,0.00038239
idle,3,61,0.00038903
idle,3,62,0.00039582
idle,3,63,0.00040268
idle,3,64,0.00040939
idle,3,65,0.00041615
idle,3,66,0.00042317
idle,3,67,0.00043046
idle,3,68,0.00043762
idle,3,69,0.00044437
idle,3,70,0.00045029
idle,3,71,0.0004569
idle,3,72,0.00046372
idle,3,73,0.00047041
idle,3,74,0.00047591
idle,3,75,0.00048253
idle,3,76,0.0004886
idle,3,77,0.00049498
idle,3,78,0.00050136
idle,3,79,0.0005079
idle,3,80,0.00051427
idle,3,81,0.00052071
idle,3,82,0.00052729
idle,3,83,0.00053389
idle,3,84,0.00054042
idle,3,85,0.00054697
idle,3,86,0.00055359
idle,3,87,0.00056023
idle,3,88,0.00056685
idle,3,89,0.00057346
idle,3,90,0.00058013
idle,3,91,0.00058678
idle,3,92,0.0005934
idle,3,93,0.00060006
idle,3,94,0.00060673
idle,3,95,0.0006134
idle,4,0,0.00061427
idle,4,1,0.00060761
idle,4,2,0.00060094
idle,4,3,0.00059427
idle,4,4,0.00058764
idle,4,5,0.0005812
idle,4,6,0.00057476
idle,4,7,0.0005681
idle,4,8,0.00056162
idle,4,9,0.00055522
idle,4,10,0.00054884
idle,4,11,0.00054218
idle,4,12,0.00053577
idle,4,13,0.00052939
idle,4,14,0.00052354
idle,4,15,0.00051804
idle,4,16,0.00051071
idle,4,17,0.00050409
idle,4,18,0.00049785
idle,4,19,0.00049184
idle,4,20,0.00048616
idle,4,21,0.0004793
idle,4,22,0.00047297
idle,4,23,0.00046614
idle,4,24,0.00045934
idle,4,25,0.00045258
idle,4,26,0.00044606
idle,4,27,0.00043941
idle,4,28,0.0004328
idle,4,29,0.0004259
idle,4,30,0.00041933
idle,4,31,0.00041311
idle,4,32,0.00040633
idle,4,33,0.00039933
idle,4,34,0.00039194
idle,4,35,0.00038516
idle,4,36,0.0003792
idle,4,37,0.00037221
idle,4,38,0.00036633
idle,4,39,0.00036088
idle,4,40,0.00035473
idle,4,41,0.0003483
idle,4,42,0.00034311
idle,4,43,0.0003358
idle,4,44,0.00033003
idle,4,45,0.00032303
idle,4,46,0.00031699
idle,4,47,0.00031108
idle,4,48,0.0003044
idle,4,49,0.0003113
idle,4,50,0.00031756
idle,4,51,0.00032413
idle,4,52,0.00033078
idle,4,53,0.00033715
