inst_id,inst_name,module,cell_type,x_um,y_um,area_um2,cap_ff,is_seq,is_clk,is_macro
0,_26290_,ch_ctrl,XNOR2_X1,245.48,319.9,1.596,3.511,0,0,0
1,_26291_,ch_ctrl,XNOR2_X1,261.82,205.1,1.596,3.511,0,0,0
2,_26292_,ch_ctrl,INV_X1,256.88,203.7,0.532,1.17,0,0,0
3,_26293_,ch_ctrl,INV_X1,253.27,202.3,0.532,1.17,0,0,0
4,_26294_,ch_ctrl,AOI21_X1,253.65,203.7,1.064,2.341,0,0,0
5,_26295_,ch_ctrl,OAI21_X1,256.69,200.9,1.064,2.341,0,0,0
6,_26296_,ch_ctrl,XNOR2_X1,259.54,205.1,1.596,3.511,0,0,0
7,_26297_,ch_ctrl,AOI21_X1,253.46,319.9,1.064,2.341,0,0,0
8,_26298_,ch_ctrl,INV_X1,248.9,318.5,0.532,1.17,0,0,0
9,_26299_,ch_ctrl,AOI21_X1,247.19,318.5,1.064,2.341,0,0,0
10,_26300_,ch_ctrl,XOR2_X1,246.24,317.1,1.596,3.511,0,0,0
11,clkbuf_leaf_30_clk_nand,ch_ctrl,CLKBUF_X3,276.735,247.1,1.33,2.926,0,1,0
12,_26302_,host_if,XOR2_X1,396.34,200.9,1.596,3.511,0,0,0
13,clkbuf_leaf_29_clk_nand,ch_ctrl,CLKBUF_X3,274.645,234.5,1.33,2.926,0,1,0
14,_26304_,ch_ctrl,NAND3_X1,349.03,170.1,1.064,2.341,0,0,0
15,_26305_,ch_ctrl,XOR2_X1,349.6,177.1,1.596,3.511,0,0,0
16,_26306_,ch_ctrl,INV_X1,346.18,178.5,0.532,1.17,0,0,0
17,clkbuf_leaf_28_clk_nand,ch_ctrl,CLKBUF_X3,267.615,234.5,1.33,2.926,0,1,0
18,clkbuf_leaf_27_clk_nand,ch_ctrl,CLKBUF_X3,261.155,228.9,1.33,2.926,0,1,0
19,clkbuf_leaf_26_clk_nand,ch_ctrl,CLKBUF_X3,264.005,217.7,1.33,2.926,0,1,0
20,_26310_,host_if,NAND3_X1,173.47,142.1,1.064,2.341,0,0,0
21,_26311_,host_if,XOR2_X1,172.52,142.1,1.596,3.511,0,0,0
22,_26312_,host_if,INV_X1,171.76,142.1,0.532,1.17,0,0,0
23,clkbuf_leaf_25_clk_nand,ch_ctrl,CLKBUF_X3,253.175,207.9,1.33,2.926,0,1,0
24,clkbuf_leaf_24_clk_nand,ch_ctrl,CLKBUF_X3,253.365,231.7,1.33,2.926,0,1,0
25,_26315_,host_if,NAND3_X1,112.48,178.5,1.064,2.341,0,0,0
26,_26316_,host_if,XOR2_X1,114.57,179.9,1.596,3.511,0,0,0
27,_26317_,host_if,INV_X1,113.81,179.9,0.532,1.17,0,0,0
28,_26318_,ch_ctrl,XOR2_X1,349.98,170.1,1.596,3.511,0,0,0
29,clkbuf_leaf_23_clk_nand,ch_ctrl,CLKBUF_X3,249.945,234.5,1.33,2.926,0,1,0
30,_26320_,ch_ctrl,NAND3_X1,348.27,168.7,1.064,2.341,0,0,0
31,_26321_,ch_ctrl,XOR2_X1,348.08,170.1,1.596,3.511,0,0,0
32,_26322_,ch_ctrl,INV_X1,345.23,171.5,0.532,1.17,0,0,0
33,clkbuf_leaf_22_clk_nand,ch_ctrl,CLKBUF_X3,241.015,235.9,1.33,2.926,0,1,0
34,clkbuf_leaf_21_clk_nand,ch_ctrl,CLKBUF_X3,233.415,234.5,1.33,2.926,0,1,0
35,clkbuf_leaf_20_clk_nand,ch_ctrl,CLKBUF_X3,239.495,220.5,1.33,2.926,0,1,0
36,_26326_,ch_ctrl,NAND3_X1,324.33,203.7,1.064,2.341,0,0,0
37,_26327_,ch_ctrl,XOR2_X1,323.57,202.3,1.596,3.511,0,0,0
38,_26328_,ch_ctrl,INV_X1,325.28,202.3,0.532,1.17,0,0,0
39,clkbuf_leaf_19_clk_nand,ch_ctrl,CLKBUF_X3,235.885,212.1,1.33,2.926,0,1,0
40,clkbuf_leaf_18_clk_nand,ch_ctrl,CLKBUF_X3,245.575,206.5,1.33,2.926,0,1,0
41,clkbuf_leaf_17_clk_nand,ch_ctrl,CLKBUF_X3,236.265,165.9,1.33,2.926,0,1,0
42,_26332_,host_if,MUX2_X1,146.775,178.5,1.862,4.096,0,0,0
43,clkbuf_leaf_16_clk_nand,ch_ctrl,CLKBUF_X3,226.765,165.9,1.33,2.926,0,1,0
44,clkbuf_leaf_15_clk_nand,ch_ctrl,CLKBUF_X3,222.585,205.1,1.33,2.926,0,1,0
45,_26335_,host_if,MUX2_X1,148.675,172.9,1.862,4.096,0,0,0
46,clkbuf_leaf_14_clk_nand,ch_ctrl,CLKBUF_X3,224.865,214.9,1.33,2.926,0,1,0
47,clkbuf_leaf_13_clk_nand,ch_ctrl,CLKBUF_X3,228.475,224.7,1.33,2.926,0,1,0
48,clkbuf_leaf_12_clk_nand,ch_ctrl,CLKBUF_X3,222.395,237.3,1.33,2.926,0,1,0
49,_26339_,host_if,MUX2_X1,148.865,178.5,1.862,4.096,0,0,0
50,_26340_,host_if,MUX2_X1,149.245,186.9,1.862,4.096,0,0,0
51,clkbuf_leaf_11_clk_nand,ch_ctrl,CLKBUF_X3,218.405,228.9,1.33,2.926,0,1,0
52,clkbuf_leaf_10_clk_nand,ch_ctrl,CLKBUF_X3,210.045,235.9,1.33,2.926,0,1,0
53,_26343_,host_if,MUX2_X1,150.195,184.1,1.862,4.096,0,0,0
54,clkbuf_leaf_9_clk_nand,ch_ctrl,CLKBUF_X3,212.135,221.9,1.33,2.926,0,1,0
55,clkbuf_leaf_8_clk_nand,ch_ctrl,CLKBUF_X3,203.015,216.3,1.33,2.926,0,1,0
56,_26346_,host_if,MUX2_X1,151.525,184.1,1.862,4.096,0,0,0
57,clkbuf_leaf_7_clk_nand,ch_ctrl,CLKBUF_X3,203.965,228.9,1.33,2.926,0,1,0
58,clkbuf_leaf_6_clk_nand,ch_ctrl,CLKBUF_X3,199.405,234.5,1.33,2.926,0,1,0
59,_26349_,host_if,MUX2_X1,152.095,179.9,1.862,4.096,0,0,0
60,_26350_,host_if,MUX2_X1,168.435,186.9,1.862,4.096,0,0,0
61,clkbuf_leaf_5_clk_nand,ch_ctrl,CLKBUF_X3,185.345,209.3,1.33,2.926,0,1,0
62,clkbuf_leaf_4_clk_nand,ch_ctrl,CLKBUF_X3,189.335,203.7,1.33,2.926,0,1,0
63,_26353_,host_if,MUX2_X1,175.845,184.1,1.862,4.096,0,0,0
64,clkbuf_leaf_3_clk_nand,ch_ctrl,CLKBUF_X3,195.415,182.7,1.33,2.926,0,1,0
65,_26355_,host_if,MUX2_X1,174.325,184.1,1.862,4.096,0,0,0
66,_26356_,host_if,MUX2_X1,171.095,178.5,1.862,4.096,0,0,0
67,clkbuf_leaf_2_clk_nand,ch_ctrl,CLKBUF_X3,199.595,170.1,1.33,2.926,0,1,0
68,clkbuf_leaf_1_clk_nand,ch_ctrl,CLKBUF_X3,206.815,174.3,1.33,2.926,0,1,0
69,_26359_,host_if,MUX2_X1,177.365,177.1,1.862,4.096,0,0,0
70,clkbuf_leaf_0_clk_nand,ch_ctrl,CLKBUF_X3,223.345,137.9,1.33,2.926,0,1,0
71,clkload672,host_if,CLKBUF_X1,415.815,311.5,0.798,1.756,0,1,0
72,_26362_,host_if,MUX2_X1,174.515,178.5,1.862,4.096,0,0,0
73,clkload671,host_if,CLKBUF_X1,406.315,314.3,0.798,1.756,0,1,0
