scenario,fy,fx,drop_v
idle,0,0,0.00064604
idle,0,1,0.00063937
idle,0,2,0.00063271
idle,0,3,0.00062604
idle,0,4,0.00061937
idle,0,5,0.00061271
idle,0,6,0.00060604
idle,0,7,0.00059937
idle,0,8,0.00059355
idle,0,9,0.00058825
idle,0,10,0.00058294
idle,0,11,0.0005779
idle,0,12,0.00057178
idle,0,13,0.0005659
idle,0,14,0.00056025
idle,0,15,0.0005547
idle,0,16,0.00054807
idle,0,17,0.00054258
idle,0,18,0.00053708
idle,0,19,0.00053251
idle,0,20,0.00052667
idle,0,21,0.00052344
idle,0,22,0.00052085
idle,0,23,0.00051545
idle,0,24,0.00050967
idle,0,25,0.00050458
idle,0,26,0.00049779
idle,0,27,0.00049133
idle,0,28,0.00048364
idle,0,29,0.00047677
idle,0,30,0.00046939
idle,0,31,0.00046237
idle,0,32,0.00045638
idle,0,33,0.00045075
idle,0,34,0.0004454
idle,0,35,0.00043912
idle,0,36,0.00043284
idle,0,37,0.00042617
idle,0,38,0.00041921
idle,0,39,0.00041268
idle,0,40,0.00040682
idle,0,41,0.00040024
idle,0,42,0.0003935
idle,0,43,0.00038721
idle,0,44,0.00038228
idle,0,45,0.00037719
idle,0,46,0.00037088
idle,0,47,0.00036581
idle,0,48,0.00035994
idle,0,49,0.00036772
idle,0,50,0.00037399
idle,0,51,0.00038087
idle,0,52,0.00038712
idle,0,53,0.000391
idle,0,54,0.00039592
idle,0,55,0.00040042
idle,0,56,0.00040747
idle,0,57,0.00041387
idle,0,58,0.00041972
idle,0,59,0.00042561
idle,0,60,0.00043232
idle,0,61,0.00043845
idle,0,62,0.00044462
idle,0,63,0.00045067
idle,0,64,0.00045701
idle,0,65,0.00046317
idle,0,66,0.00046943
idle,0,67,0.00047582
idle,0,68,0.00048272
idle,0,69,0.00049009
idle,0,70,0.00049681
idle,0,71,0.0005038
idle,0,72,0.00051001
idle,0,73,0.00051619
idle,0,74,0.0005209
idle,0,75,0.00052714
idle,0,76,0.0005304
idle,0,77,0.00053411
idle,0,78,0.00053867
idle,0,79,0.00054405
idle,0,80,0.00054845
idle,0,81,0.00055391
idle,0,82,0.00055952
idle,0,83,0.0005659
idle,0,84,0.00057151
idle,0,85,0.00057696
idle,0,86,0.00058262
idle,0,87,0.00058893
idle,0,88,0.00059456
idle,0,89,0.00060002
idle,0,90,0.00060562
idle,0,91,0.00061199
idle,0,92,0.00061781
idle,0,93,0.00062448
idle,0,94,0.00063115
idle,0,95,0.00063782
idle,1,0,0.00063937
idle,1,1,0.00063271
idle,1,2,0.00062604
