scenario,fy,fx,drop_v
idle,0,0,0.00041726
idle,0,1,0.00041702
idle,0,2,0.00041646
idle,0,3,0.0004157
idle,0,4,0.00041492
idle,0,5,0.00041393
idle,0,6,0.00041303
idle,0,7,0.0004122
idle,0,8,0.00041171
idle,0,9,0.00041139
idle,0,10,0.0004116
idle,0,11,0.00041229
idle,0,12,0.0004138
idle,0,13,0.00041598
idle,0,14,0.0004189
idle,0,15,0.00042263
idle,0,16,0.00042697
idle,0,17,0.00043166
idle,0,18,0.00043695
idle,0,19,0.0004427
idle,0,20,0.00044893
idle,0,21,0.00045529
idle,0,22,0.00046162
idle,0,23,0.00046816
idle,0,24,0.00047459
idle,0,25,0.00048073
idle,0,26,0.00048683
idle,0,27,0.0004931
idle,0,28,0.00049942
idle,0,29,0.00050552
idle,0,30,0.00051189
idle,0,31,0.00051843
idle,0,32,0.00052506
idle,0,33,0.00053219
idle,0,34,0.00053987
idle,0,35,0.00054833
idle,0,36,0.000558
idle,0,37,0.00056896
idle,0,38,0.00058112
idle,0,39,0.00059416
idle,0,40,0.00060703
idle,0,41,0.00062027
idle,0,42,0.00063336
idle,0,43,0.0006467
idle,0,44,0.00065998
idle,0,45,0.00067329
idle,0,46,0.00068552
idle,0,47,0.00069676
idle,0,48,0.00070711
idle,0,49,0.00071722
idle,0,50,0.00072609
idle,0,51,0.000733
idle,0,52,0.00073891
idle,0,53,0.00074287
idle,0,54,0.00074588
idle,0,55,0.00074796
idle,0,56,0.00074939
idle,0,57,0.00075113
idle,0,58,0.00075307
idle,0,59,0.00075564
idle,0,60,0.00075875
idle,0,61,0.00076289
idle,0,62,0.00076859
idle,0,63,0.00077572
idle,0,64,0.00078424
idle,0,65,0.00079454
idle,0,66,0.00080626
idle,0,67,0.00081948
idle,0,68,0.00083442
idle,0,69,0.0008508
idle,0,70,0.00086759
idle,0,71,0.00088519
idle,0,72,0.00090353
idle,0,73,0.00092239
idle,0,74,0.00094164
idle,0,75,0.00096102
idle,0,76,0.0009798
idle,0,77,0.00099766
idle,0,78,0.00101513
idle,0,79,0.00103184
idle,0,80,0.00104831
idle,0,81,0.00106445
idle,0,82,0.00107938
idle,0,83,0.0010932
idle,0,84,0.00110594
idle,0,85,0.00111813
idle,0,86,0.00112905
idle,0,87,0.00113893
idle,0,88,0.00114794
idle,0,89,0.00115585
idle,0,90,0.0011629
idle,0,91,0.00116859
idle,0,92,0.0011732
idle,0,93,0.00117642
idle,0,94,0.00117867
idle,0,95,0.00117981
idle,1,0,0.00041709
idle,1,1,0.00041676
idle,1,2,0.00041624
idle,1,3,0.00041548
idle,1,4,0.00041455
idle,1,5,0.00041359
idle,1,6,0.00041259
idle,1,7,0.00041165
idle,1,8,0.00041099
idle,1,9,0.0004105
idle,1,10,0.00041051
idle,1,11,0.00041121
idle,1,12,0.00041262
idle,1,13,0.00041473
idle,1,14,0.00041758
idle,1,15,0.00042131
idle,1,16,0.00042576
idle,1,17,0.00043076
idle,1,18,0.0004363
idle,1,19,0.00044216
idle,1,20,0.00044835
idle,1,21,0.00045486
idle,1,22,0.00046127
idle,1,23,0.00046772
idle,1,24,0.00047417
idle,1,25,0.00048042
idle,1,26,0.00048657
idle,1,27,0.00049263
idle,1,28,0.00049884
idle,1,29,0.00050493
idle,1,30,0.00051118
idle,1,31,0.00051769
idle,1,32,0.0005241
idle,1,33,0.00053103
idle,1,34,0.00053856
idle,1,35,0.00054702
idle,1,36,0.00055644
idle,1,37,0.00056711
idle,1,38,0.00057935
idle,1,39,0.00059231
idle,1,40,0.00060547
idle,1,41,0.00061862
idle,1,42,0.00063173
idle,1,43,0.00064516
idle,1,44,0.00065886
idle,1,45,0.0006723
idle,1,46,0.00068432
idle,1,47,0.000696
idle,1,48,0.00070664
idle,1,49,0.00071652
idle,1,50,0.00072547
idle,1,51,0.00073246
idle,1,52,0.00073811
idle,1,53,0.00074234
idle,1,54,0.00074548
idle,1,55,0.00074731
idle,1,56,0.0007487
idle,1,57,0.00075015
idle,1,58,0.00075206
idle,1,59,0.00075435
idle,1,60,0.00075723
idle,1,61,0.00076116
idle,1,62,0.00076651
idle,1,63,0.00077352
idle,1,64,0.00078209
idle,1,65,0.00079215
idle,1,66,0.00080384
idle,1,67,0.00081752
idle,1,68,0.00083271
idle,1,69,0.00084885
idle,1,70,0.00086602
idle,1,71,0.00088409
idle,1,72,0.00090289
idle,1,73,0.00092192
idle,1,74,0.00094118
idle,1,75,0.00096054
idle,1,76,0.00097937
idle,1,77,0.00099744
idle,1,78,0.00101506
idle,1,79,0.00103204
idle,1,80,0.00104866
idle,1,81,0.0010646
idle,1,82,0.00107951
idle,1,83,0.00109354
idle,1,84,0.0011064
idle,1,85,0.00111855
idle,1,86,0.00112955
idle,1,87,0.0011394
idle,1,88,0.00114843
idle,1,89,0.0011565
idle,1,90,0.00116346
idle,1,91,0.00116919
idle,1,92,0.00117367
idle,1,93,0.00117698
idle,1,94,0.0011792
idle,1,95,0.00118042
idle,2,0,0.00041682
idle,2,1,0.00041648
idle,2,2,0.00041587
idle,2,3,0.00041499
idle,2,4,0.00041391
idle,2,5,0.00041282
idle,2,6,0.00041159
idle,2,7,0.00041042
idle,2,8,0.0004094
idle,2,9,0.00040861
idle,2,10,0.00040847
idle,2,11,0.00040893
idle,2,12,0.00041021
idle,2,13,0.00041227
idle,2,14,0.00041514
idle,2,15,0.00041891
idle,2,16,0.00042362
idle,2,17,0.00042893
idle,2,18,0.00043464
idle,2,19,0.00044085
idle,2,20,0.00044721
idle,2,21,0.00045385
idle,2,22,0.00046054
idle,2,23,0.00046708
idle,2,24,0.00047339
idle,2,25,0.00047976
idle,2,26,0.00048592
idle,2,27,0.0004919
idle,2,28,0.00049786
idle,2,29,0.00050391
idle,2,30,0.00050984
idle,2,31,0.00051587
idle,2,32,0.00052218
idle,2,33,0.00052881
idle,2,34,0.00053601
idle,2,35,0.00054408
idle,2,36,0.00055338
idle,2,37,0.00056377
idle,2,38,0.00057561
idle,2,39,0.00058862
idle,2,40,0.00060188
idle,2,41,0.00061531
idle,2,42,0.00062879
idle,2,43,0.00064261
idle,2,44,0.00065699
idle,2,45,0.00067027
idle,2,46,0.00068279
idle,2,47,0.00069434
idle,2,48,0.00070517
idle,2,49,0.00071529
idle,2,50,0.00072402
idle,2,51,0.00073146
idle,2,52,0.00073731
idle,2,53,0.00074129
idle,2,54,0.00074438
idle,2,55,0.0007459
idle,2,56,0.00074701
idle,2,57,0.00074818
idle,2,58,0.00074981
idle,2,59,0.00075165
idle,2,60,0.00075416
idle,2,61,0.00075758
idle,2,62,0.00076245
idle,2,63,0.00076907
idle,2,64,0.00077736
idle,2,65,0.00078748
idle,2,66,0.0007993
idle,2,67,0.00081292
idle,2,68,0.00082854
idle,2,69,0.00084522
idle,2,70,0.00086306
idle,2,71,0.00088176
idle,2,72,0.00090097
idle,2,73,0.00092063
idle,2,74,0.00094022
idle,2,75,0.00095994
idle,2,76,0.00097916
idle,2,77,0.0009975
idle,2,78,0.00101524
idle,2,79,0.00103252
idle,2,80,0.00104915
idle,2,81,0.00106499
idle,2,82,0.00108021
idle,2,83,0.00109423
idle,2,84,0.00110742
idle,2,85,0.00111943
idle,2,86,0.00113036
idle,2,87,0.00114034
idle,2,88,0.00114963
idle,2,89,0.00115763
idle,2,90,0.00116451
idle,2,91,0.00117026
idle,2,92,0.00117465
idle,2,93,0.00117805
idle,2,94,0.0011803
idle,2,95,0.00118144
idle,3,0,0.00041643
idle,3,1,0.00041612
idle,3,2,0.00041537
idle,3,3,0.00041437
idle,3,4,0.00041307
idle,3,5,0.00041166
idle,3,6,0.00040997
idle,3,7,0.00040841
idle,3,8,0.00040699
idle,3,9,0.00040584
idle,3,10,0.00040537
idle,3,11,0.00040551
idle,3,12,0.00040656
idle,3,13,0.00040859
idle,3,14,0.00041151
idle,3,15,0.00041539
idle,3,16,0.00042041
idle,3,17,0.00042608
idle,3,18,0.00043221
idle,3,19,0.00043881
idle,3,20,0.00044553
idle,3,21,0.00045245
idle,3,22,0.00045938
idle,3,23,0.00046607
idle,3,24,0.00047248
idle,3,25,0.00047874
idle,3,26,0.00048487
idle,3,27,0.00049085
idle,3,28,0.00049667
idle,3,29,0.00050236
idle,3,30,0.00050793
idle,3,31,0.00051351
idle,3,32,0.00051933
idle,3,33,0.00052543
idle,3,34,0.00053213
idle,3,35,0.00053968
idle,3,36,0.00054832
idle,3,37,0.00055849
idle,3,38,0.00056987
idle,3,39,0.00058309
idle,3,40,0.00059693
idle,3,41,0.00061032
idle,3,42,0.00062431
idle,3,43,0.00063835
idle,3,44,0.0006529
idle,3,45,0.00066664
idle,3,46,0.00067977
idle,3,47,0.00069215
idle,3,48,0.00070315
idle,3,49,0.00071342
idle,3,50,0.00072227
idle,3,51,0.00072982
idle,3,52,0.00073591
idle,3,53,0.00073985
idle,3,54,0.00074246
idle,3,55,0.00074401
idle,3,56,0.00074474
idle,3,57,0.00074545
idle,3,58,0.0007464
idle,3,59,0.00074772
