path_id,endpoint,clock_domain,slack_ns,delay_ns,inst_ids
0,u_457320,clk_nand,1.474,0.534,29119;142034;189766;219737;385856;402381;404972;442642;457320
1,u_433000,clk_core,1.705,1.717,18000;184446;203526;224236;226665;330558;410685;433000
2,u_383258,clk_nand,1.31,1.865,12289;26770;76740;160867;218697;233796;305849;320992;364306;368558;383258
3,u_260863,clk_core,0.261,1.827,109978;231996;255169;260863
4,u_419938,clk_core,1.818,2.033,51318;86936;193491;260742;329459;361015;419938
5,u_366059,clk_host,-0.135,0.784,33950;57423;104056;124021;183664;232261;238772;357512;366059
6,u_406997,clk_nand,-0.394,1.937,74635;144565;148477;152254;156099;186764;225138;308935;325006;359759;406997
7,u_426620,clk_nand,1.997,1.564,11367;39624;44722;154909;313171;369837;370462;426620
8,u_418201,clk_nand,0.777,1.769,87007;90806;193670;205245;273870;317950;318596;335106;382342;391738;418201
9,u_407612,clk_host,1.619,1.463,10930;55013;216082;222056;268997;320953;343785;407612
10,u_303422,clk_core,-0.0,0.797,154590;167126;222325;303422
11,u_455472,clk_core,0.962,0.564,19418;51360;149329;188522;191934;193559;261480;304240;333161;455472
12,u_320414,clk_nand,0.467,0.741,9006;16847;34595;46855;112564;299753;320414
13,u_434108,clk_nand,1.559,1.53,49821;146123;147531;326129;333079;334959;352727;355260;411609;434108
14,u_404922,clk_nand,1.329,0.532,24799;56401;140040;196290;404922
15,u_365244,clk_core,0.019,1.235,154073;192907;255937;308453;327786;365244
16,u_434121,clk_nand,1.978,2.317,59329;285751;309680;392861;426687;434121
17,u_433877,clk_core,0.229,1.424,2027;2078;43389;71563;130329;231867;281691;402183;406788;416504;433877
18,u_408482,clk_host,1.669,1.225,95296;116744;190212;207134;266888;408482
19,u_378834,clk_nand,1.62,1.828,40446;94978;127572;238798;301586;378834
20,u_437207,clk_nand,1.161,1.039,35890;269118;315062;342402;437207
21,u_458166,clk_nand,-0.037,1.303,2499;42124;59759;155659;248255;286260;317420;451049;458166
22,u_382931,clk_core,0.303,1.413,89126;140704;168936;213764;245014;281127;293050;313925;382931
23,u_435866,clk_core,1.323,1.794,27588;56422;149213;162987;258775;311104;401721;435284;435866
24,u_417716,clk_nand,0.199,0.646,60502;216763;328622;417716
25,u_431914,clk_host,0.371,1.764,22147;80612;144649;322699;431914
26,u_445563,clk_nand,-0.239,0.883,60300;74085;133989;207211;423475;445563
27,u_420751,clk_core,1.558,0.999,19152;119734;127289;268558;354004;414872;420751
28,u_457647,clk_core,0.039,0.606,105579;116062;162361;293807;309368;314520;324693;343096;372292;457647
29,u_444988,clk_core,0.487,0.845,32815;33694;162809;190117;281966;404811;444988
30,u_419921,clk_core,0.498,2.332,54950;167151;190790;279404;280484;280848;320590;329463;391450;417528;419921
31,u_308975,clk_nand,-0.42,2.342,223003;268805;292614;308975
32,u_443596,clk_core,1.153,1.962,76155;182227;303510;312337;337199;339196;443596
33,u_392070,clk_core,0.887,0.844,2541;58828;68097;97953;264735;272235;288105;328331;349806;377264;392070
34,u_266976,clk_core,0.269,0.658,5912;22261;42618;82758;183281;202861;209797;266976
35,u_437512,clk_host,-0.333,0.934,14386;82922;282641;331093;358938;367723;423543;437512
