scenario,module,activity,mission_weight
idle,host_if_0,0.05,0.3
idle,dma_fabric_1,0.02,0.3
idle,ecc_engine_2,0.01,0.3
idle,ch_ctrl_3,0.02,0.3
idle,sram_ctl_4,0.05,0.3
idle,seq_core_5,0.1,0.3
idle,ch_ctrl_6,0.02,0.3
idle,host_if_7,0.05,0.3
idle,ecc_engine_8,0.01,0.3
idle,sram_ctl_9,0.05,0.3
seq_read,host_if_0,0.85,0.25
seq_read,dma_fabric_1,0.8,0.25
seq_read,ecc_engine_2,0.55,0.25
seq_read,ch_ctrl_3,0.7,0.25
seq_read,sram_ctl_4,0.6,0.25
seq_read,seq_core_5,0.35,0.25
seq_read,ch_ctrl_6,0.7,0.25
seq_read,host_if_7,0.85,0.25
seq_read,ecc_engine_8,0.55,0.25
seq_read,sram_ctl_9,0.6,0.25
seq_write,host_if_0,0.9,0.15
seq_write,dma_fabric_1,0.9,0.15
seq_write,ecc_engine_2,0.95,0.15
seq_write,ch_ctrl_3,0.85,0.15
seq_write,sram_ctl_4,0.75,0.15
seq_write,seq_core_5,0.4,0.15
seq_write,ch_ctrl_6,0.85,0.15
seq_write,host_if_7,0.9,0.15
seq_write,ecc_engine_8,0.95,0.15
seq_write,sram_ctl_9,0.75,0.15
rand_read_4k,host_if_0,0.6,0.15
rand_read_4k,dma_fabric_1,0.55,0.15
rand_read_4k,ecc_engine_2,0.45,0.15
rand_read_4k,ch_ctrl_3,0.5,0.15
rand_read_4k,sram_ctl_4,0.9,0.15
rand_read_4k,seq_core_5,0.85,0.15
rand_read_4k,ch_ctrl_6,0.5,0.15
rand_read_4k,host_if_7,0.6,0.15
rand_read_4k,ecc_engine_8,0.45,0.15
rand_read_4k,sram_ctl_9,0.9,0.15
gc_compact,host_if_0,0.05,0.1
gc_compact,dma_fabric_1,0.85,0.1
gc_compact,ecc_engine_2,0.9,0.1
gc_compact,ch_ctrl_3,0.9,0.1
gc_compact,sram_ctl_4,0.7,0.1
gc_compact,seq_core_5,0.6,0.1
gc_compact,ch_ctrl_6,0.9,0.1
gc_compact,host_if_7,0.05,0.1
gc_compact,ecc_engine_8,0.9,0.1
gc_compact,sram_ctl_9,0.7,0.1
ecc_recover,host_if_0,0.1,0.05
ecc_recover,dma_fabric_1,0.2,0.05
ecc_recover,ecc_engine_2,1.0,0.05
ecc_recover,ch_ctrl_3,0.15,0.05
ecc_recover,sram_ctl_4,0.3,0.05
ecc_recover,seq_core_5,0.25,0.05
ecc_recover,ch_ctrl_6,0.15,0.05
ecc_recover,host_if_7,0.1,0.05
ecc_recover,ecc_engine_8,1.0,0.05
ecc_recover,sram_ctl_9,0.3,0.05
