fy,fx,density
0,0,0.693108
0,1,0.693621
0,2,0.694548
0,3,0.695714
0,4,0.696893
0,5,0.697851
0,6,0.698391
0,7,0.698386
0,8,0.697786
0,9,0.696637
0,10,0.695042
0,11,0.693123
0,12,0.690994
0,13,0.688722
0,14,0.68636
0,15,0.683979
0,16,0.68173
0,17,0.67988
0,18,0.678782
0,19,0.678813
0,20,0.680236
0,21,0.683091
0,22,0.68714
0,23,0.691888
0,24,0.696684
0,25,0.70089
0,26,0.704022
0,27,0.705856
0,28,0.706438
0,29,0.706025
0,30,0.704972
0,31,0.703614
0,32,0.702183
0,33,0.700779
0,34,0.699398
0,35,0.698014
0,36,0.696643
0,37,0.695399
0,38,0.69447
0,39,0.694069
0,40,0.694336
0,41,0.695279
0,42,0.696739
0,43,0.698438
0,44,0.700049
0,45,0.701294
0,46,0.702015
0,47,0.702194
0,48,0.701944
0,49,0.701442
0,50,0.700875
0,51,0.700396
0,52,0.700094
0,53,0.700007
0,54,0.700125
0,55,0.700411
0,56,0.700808
0,57,0.701255
0,58,0.701679
0,59,0.702003
0,60,0.702152
0,61,0.702062
0,62,0.701697
0,63,0.701057
0,64,0.700196
0,65,0.699213
0,66,0.698252
0,67,0.697473
0,68,0.697022
0,69,0.697002
0,70,0.697454
0,71,0.698342
0,72,0.699561
0,73,0.700962
0,74,0.702365
0,75,0.703588
0,76,0.704458
0,77,0.704828
0,78,0.704613
0,79,0.70381
0,80,0.702521
0,81,0.700961
0,82,0.699435
0,83,0.698278
0,84,0.697774
0,85,0.698073
0,86,0.699153
0,87,0.700814
0,88,0.702742
0,89,0.704597
0,90,0.706106
0,91,0.707134
0,92,0.707684
0,93,0.707868
0,94,0.707857
0,95,0.707805
1,0,0.694467
1,1,0.694935
1,2,0.695781
1,3,0.696843
1,4,0.697912
1,5,0.698765
1,6,0.699218
1,7,0.699142
1,8,0.698488
1,9,0.697296
1,10,0.695658
1,11,0.693697
1,12,0.691526
1,13,0.689219
1,14,0.686839
1,15,0.684462
1,16,0.682242
1,17,0.680438
1,18,0.679388
1,19,0.679449
1,20,0.680864
1,21,0.683659
1,22,0.687594
1,23,0.692183
1,24,0.696791
1,25,0.700804
1,26,0.703764
1,27,0.705466
1,28,0.705969
1,29,0.705536
1,30,0.704519
1,31,0.703249
1,32,0.701947
1,33,0.7007
1,34,0.699493
1,35,0.698286
1,36,0.697083
1,37,0.695982
1,38,0.695167
1,39,0.694842
1,40,0.695147
1,41,0.696087
1,42,0.69751
1,43,0.699139
1,44,0.700659
1,45,0.7018
1,46,0.702416
1,47,0.702502
1,48,0.702181
1,49,0.701637
1,50,0.701059
1,51,0.700596
1,52,0.700333
1,53,0.700295
1,54,0.700465
1,55,0.700795
1,56,0.701223
1,57,0.701683
1,58,0.702102
1,59,0.702402
1,60,0.702511
1,61,0.702368
1,62,0.701939
1,63,0.701227
1,64,0.700294
1,65,0.699242
1,66,0.698221
1,67,0.697394
1,68,0.696912
1,69,0.696878
1,70,0.697329
1,71,0.69823
1,72,0.699477
1,73,0.700922
1,74,0.702393
1,75,0.703711
1,76,0.704704
1,77,0.705224
1,78,0.705175
1,79,0.704536
1,80,0.703388
1,81,0.701923
1,82,0.700425
1,83,0.699217
1,84,0.69858
1,85,0.698676
1,86,0.699502
1,87,0.700885
1,88,0.70254
1,89,0.704152
1,90,0.705466
1,91,0.706351
1,92,0.706808
1,93,0.70694
1,94,0.706903
1,95,0.706842
2,0,0.696965
2,1,0.697352
2,2,0.698051
2,3,0.698924
2,4,0.69979
2,5,0.700455
2,6,0.700749
2,7,0.70055
2,8,0.699804
2,9,0.698535
2,10,0.696827
2,11,0.694794
2,12,0.69255
2,13,0.690184
2,14,0.687772
2,15,0.685404
2,16,0.683237
2,17,0.681516
2,18,0.680553
2,19,0.680666
2,20,0.682063
2,21,0.684746
2,22,0.68847
2,23,0.692763
2,24,0.697026
2,25,0.700688
2,26,0.703336
2,27,0.704802
2,28,0.705168
2,29,0.704706
2,30,0.703766
2,31,0.702664
2,32,0.701604
2,33,0.70065
2,34,0.699764
2,35,0.698879
2,36,0.697974
2,37,0.697129
2,38,0.696507
2,39,0.696304
2,40,0.696655
2,41,0.69757
2,42,0.698904
2,43,0.700394
2,44,0.701739
2,45,0.70269
2,46,0.703122
2,47,0.703049
2,48,0.702611
2,49,0.702001
2,50,0.701409
2,51,0.700978
2,52,0.70078
2,53,0.700827
2,54,0.701084
2,55,0.70149
2,56,0.701973
2,57,0.702461
2,58,0.702875
2,59,0.70314
2,60,0.703183
2,61,0.702947
2,62,0.702403
2,63,0.701558
2,64,0.700483
2,65,0.699293
2,66,0.698148
2,67,0.697223
2,68,0.696673
2,69,0.696601
2,70,0.697045
2,71,0.697969
2,72,0.699266
2,73,0.700798
2,74,0.702399
2,75,0.703897
2,76,0.705126
2,77,0.705927
2,78,0.706187
2,79,0.705851
2,80,0.704961
2,81,0.703667
2,82,0.702217
2,83,0.700911
2,84,0.700028
2,85,0.699749
2,86,0.700108
2,87,0.700984
2,88,0.702145
2,89,0.70332
2,90,0.704284
2,91,0.704917
2,92,0.705213
2,93,0.705254
2,94,0.705175
2,95,0.7051
3,0,0.700213
3,1,0.700497
3,2,0.701005
3,3,0.701635
3,4,0.702243
3,5,0.70267
3,6,0.702768
3,7,0.702421
3,8,0.701567
3,9,0.700216
3,10,0.698432
3,11,0.696319
3,12,0.693995
3,13,0.69156
3,14,0.689113
3,15,0.68676
3,16,0.684661
3,17,0.683044
3,18,0.682186
3,19,0.682358
3,20,0.683723
3,21,0.686252
3,22,0.689694
3,23,0.693598
3,24,0.697411
3,25,0.700621
3,26,0.702873
3,27,0.704047
3,28,0.704256
3,29,0.70378
3,30,0.702964
3,31,0.702102
3,32,0.701372
3,33,0.700808
3,34,0.700338
3,35,0.699864
3,36,0.699333
3,37,0.698793
3,38,0.698388
3,39,0.698299
3,40,0.69866
3,41,0.69949
3,42,0.700661
3,43,0.701933
3,44,0.703032
3,45,0.703736
3,46,0.703945
3,47,0.703694
3,48,0.703135
3,49,0.702465
3,50,0.701872
3,51,0.701489
3,52,0.701374
3,53,0.701519
3,54,0.701879
3,55,0.702376
3,56,0.70293
3,57,0.70346
3,58,0.703882
