scenario,module,n_signals,bit_toggles,sim_ns,toggles_per_us,toggles_per_bit_per_us,rel_activity
ecc_decode_heavy,cdc_fifo_chan,513,1672,39095.0,42.768,0.00205,0.0062
ecc_decode_heavy,cdc_fifo_host,96,1267,39095.0,32.408,0.00925,0.0278
ecc_decode_heavy,ch_ctrl,228,286,39095.0,7.316,0.00084,0.0025
ecc_decode_heavy,clkgate,1,25,39095.0,0.639,0.63947,1.9241
ecc_decode_heavy,dma_fabric,10,59,39095.0,1.509,0.02012,0.0605
ecc_decode_heavy,ecc_engine,76,2002,39095.0,51.209,0.05136,0.1545
ecc_decode_heavy,host_if,14,1923,39095.0,49.188,0.33235,1.0
ecc_decode_heavy,other,197,40561,39095.0,1037.498,0.27681,0.8329
ecc_decode_heavy,reset_sync,3,9,39095.0,0.23,0.02558,0.077
ecc_decode_heavy,seq_core,22,5089,39095.0,130.17,0.19115,0.5751
ecc_decode_heavy,sram_ctl,11,1601,39095.0,40.952,0.14946,0.4497
ecc_decode_heavy,sync_ff,4,140,39095.0,3.581,0.44763,1.3469
gc_compaction,cdc_fifo_chan,513,3425,49895.0,68.644,0.00329,0.0054
gc_compaction,cdc_fifo_host,96,4051,49895.0,81.191,0.02317,0.038
gc_compaction,ch_ctrl,228,1366,49895.0,27.377,0.00314,0.0051
gc_compaction,clkgate,1,63,49895.0,1.263,1.26265,2.0706
gc_compaction,dma_fabric,10,400,49895.0,8.017,0.10689,0.1753
gc_compaction,ecc_engine,76,2094,49895.0,41.968,0.04209,0.069
gc_compaction,host_if,14,4503,49895.0,90.25,0.60979,1.0
gc_compaction,other,197,54977,49895.0,1101.854,0.29398,0.4821
gc_compaction,reset_sync,3,9,49895.0,0.18,0.02004,0.0329
gc_compaction,seq_core,22,5085,49895.0,101.914,0.14965,0.2454
gc_compaction,sram_ctl,11,1761,49895.0,35.294,0.12881,0.2112
gc_compaction,sync_ff,4,368,49895.0,7.375,0.92194,1.5119
host_read_stream,cdc_fifo_chan,513,1300,36095.0,36.016,0.00173,0.0072
host_read_stream,cdc_fifo_host,96,915,36095.0,25.35,0.00723,0.0301
host_read_stream,ch_ctrl,228,286,36095.0,7.924,0.00091,0.0038
host_read_stream,clkgate,1,29,36095.0,0.803,0.80344,3.3453
host_read_stream,dma_fabric,10,56,36095.0,1.551,0.02069,0.0861
host_read_stream,ecc_engine,76,0,36095.0,0.0,0.0,0.0
host_read_stream,host_if,14,1283,36095.0,35.545,0.24017,1.0
host_read_stream,other,197,33766,36095.0,935.476,0.24959,1.0392
host_read_stream,reset_sync,3,9,36095.0,0.249,0.0277,0.1153
host_read_stream,seq_core,22,3024,36095.0,83.779,0.12302,0.5122
host_read_stream,sram_ctl,11,974,36095.0,26.984,0.09848,0.41
host_read_stream,sync_ff,4,164,36095.0,4.544,0.56795,2.3648
host_write_burst,cdc_fifo_chan,513,4474,55295.0,80.911,0.00388,0.0054
host_write_burst,cdc_fifo_host,96,5267,55295.0,95.253,0.02718,0.0381
host_write_burst,ch_ctrl,228,1435,55295.0,25.952,0.00297,0.0042
host_write_burst,clkgate,1,81,55295.0,1.465,1.46487,2.0517
host_write_burst,dma_fabric,10,843,55295.0,15.246,0.20327,0.2847
host_write_burst,ecc_engine,76,0,55295.0,0.0,0.0,0.0
host_write_burst,host_if,14,5843,55295.0,105.67,0.71398,1.0
host_write_burst,other,197,66920,55295.0,1210.236,0.3229,0.4523
host_write_burst,reset_sync,3,9,55295.0,0.163,0.01808,0.0253
host_write_burst,seq_core,22,8640,55295.0,156.253,0.22945,0.3214
host_write_burst,sram_ctl,11,2964,55295.0,53.603,0.19563,0.274
host_write_burst,sync_ff,4,476,55295.0,8.608,1.07605,1.5071
idle_retention,cdc_fifo_chan,513,20,30245.0,0.661,3e-05,0.0041
idle_retention,cdc_fifo_host,96,30,30245.0,0.992,0.00028,0.038
idle_retention,ch_ctrl,228,28,30245.0,0.926,0.00011,0.0149
idle_retention,clkgate,1,3,30245.0,0.099,0.09919,13.4586
idle_retention,dma_fabric,10,2,30245.0,0.066,0.00088,0.1194
idle_retention,ecc_engine,76,0,30245.0,0.0,0.0,0.0
idle_retention,host_if,14,33,30245.0,1.091,0.00737,1.0
idle_retention,other,197,21304,30245.0,704.381,0.18794,25.5007
idle_retention,reset_sync,3,9,30245.0,0.298,0.03306,4.4858
idle_retention,seq_core,22,11,30245.0,0.364,0.00053,0.0719
idle_retention,sram_ctl,11,5,30245.0,0.165,0.0006,0.0814
idle_retention,sync_ff,4,8,30245.0,0.265,0.03306,4.4858
peak_concurrent,cdc_fifo_chan,513,4964,86595.0,57.324,0.00275,0.0034
peak_concurrent,cdc_fifo_host,96,7345,86595.0,84.82,0.02421,0.0295
peak_concurrent,ch_ctrl,228,1573,86595.0,18.165,0.00208,0.0025
peak_concurrent,clkgate,1,101,86595.0,1.166,1.16635,1.4232
peak_concurrent,dma_fabric,10,903,86595.0,10.428,0.13904,0.1697
peak_concurrent,ecc_engine,76,8386,86595.0,96.842,0.09713,0.1185
peak_concurrent,host_if,14,10503,86595.0,121.289,0.81952,1.0
peak_concurrent,other,197,120975,86595.0,1397.021,0.37274,0.4548
peak_concurrent,reset_sync,3,9,86595.0,0.104,0.01155,0.0141
peak_concurrent,seq_core,22,21201,86595.0,244.829,0.35951,0.4387
peak_concurrent,sram_ctl,11,7117,86595.0,82.187,0.29995,0.366
peak_concurrent,sync_ff,4,596,86595.0,6.883,0.86033,1.0498
