variant,seed,fold,design,picp,mpiw_mv
learned_only,0,0,syn_004,0.8813657407407407,10.287308938565085
learned_only,0,0,syn_006,0.7653356481481481,9.203989322236247
learned_only,0,0,syn_008,0.8052662037037037,11.308636018503528
hybrid,0,0,syn_004,0.9053819444444444,4.994274886399241
hybrid,0,0,syn_006,0.6252893518518519,3.9266519527803316
hybrid,0,0,syn_008,0.6226851851851852,4.240334405363197
learned_only,0,1,syn_004,0.7578125,8.25104034384183
learned_only,0,1,syn_006,0.7537615740740741,8.309406817068655
learned_only,0,1,syn_008,0.7780671296296297,8.658747416541866
hybrid,0,1,syn_004,0.9045138888888888,6.25278690662241
hybrid,0,1,syn_006,0.7983217592592593,6.270405879783303
hybrid,0,1,syn_008,0.8602430555555556,6.292229955173693
learned_only,0,2,syn_004,0.9314236111111112,10.812792572519868
learned_only,0,2,syn_006,0.7508680555555556,10.306443747502373
learned_only,0,2,syn_008,0.7719907407407407,11.869435440376977
hybrid,0,2,syn_004,0.8501157407407407,6.148332134693537
hybrid,0,2,syn_006,0.7346643518518519,5.244723432594902
hybrid,0,2,syn_008,0.7254050925925926,5.5254475208230724
learned_only,0,3,syn_004,0.9265046296296297,10.945037695265258
learned_only,0,3,syn_006,0.7951388888888888,10.026043043451848
learned_only,0,3,syn_008,0.7962962962962963,11.618533915752383
hybrid,0,3,syn_004,0.8784722222222222,9.262025658137206
hybrid,0,3,syn_006,0.9175347222222222,8.360356738489935
hybrid,0,3,syn_008,0.8590856481481481,8.641948025346775
learned_only,0,4,syn_004,0.9019097222222222,10.27998693398169
learned_only,0,4,syn_006,0.8046875,9.78413895126162
learned_only,0,4,syn_008,0.8318865740740741,11.389377805022583
hybrid,0,4,syn_004,0.9829282407407407,7.598577923024874
hybrid,0,4,syn_006,0.8339120370370371,6.614632402646265
hybrid,0,4,syn_008,0.8501157407407407,6.965679827671226
learned_only,1,0,syn_004,0.8828125,10.696528648996127
learned_only,1,0,syn_006,0.8133680555555556,9.635773428433911
learned_only,1,0,syn_008,0.8391203703703703,10.897192375267675
hybrid,1,0,syn_004,0.9210069444444444,5.279134342869362
hybrid,1,0,syn_006,0.7135416666666666,4.517851658310669
hybrid,1,0,syn_008,0.7416087962962963,4.868282639241252
learned_only,1,1,syn_004,0.7693865740740741,6.764288136261004
learned_only,1,1,syn_006,0.5549768518518519,7.066925892454294
learned_only,1,1,syn_008,0.6359953703703703,8.404966190859838
hybrid,1,1,syn_004,0.8504050925925926,6.890543728615757
hybrid,1,1,syn_006,0.7777777777777778,5.653196682313766
hybrid,1,1,syn_008,0.7259837962962963,5.847179117675698
learned_only,1,2,syn_004,0.8949652777777778,10.31989778125985
learned_only,1,2,syn_006,0.8492476851851852,9.702117863404377
learned_only,1,2,syn_008,0.8512731481481481,10.701303599028538
hybrid,1,2,syn_004,0.9565972222222222,6.49440052254829
hybrid,1,2,syn_006,0.7847222222222222,5.41692560647323
hybrid,1,2,syn_008,0.8046875,5.759124567799422
learned_only,1,3,syn_004,0.8492476851851852,9.16045205860815
learned_only,1,3,syn_006,0.7309027777777778,8.10843115825286
learned_only,1,3,syn_008,0.8078703703703703,9.772255450280824
hybrid,1,3,syn_004,0.9716435185185185,5.86821532026884
hybrid,1,3,syn_006,0.7418981481481481,4.916995722644042
hybrid,1,3,syn_008,0.7708333333333334,5.269830271086118
learned_only,1,4,syn_004,0.8532986111111112,8.76556603173542
learned_only,1,4,syn_006,0.5943287037037037,8.567186950952951
learned_only,1,4,syn_008,0.5940393518518519,9.674741861936505
hybrid,1,4,syn_004,0.8263888888888888,5.813124879086096
hybrid,1,4,syn_006,0.7242476851851852,4.971963112596088
hybrid,1,4,syn_008,0.6941550925925926,5.214266372974778
learned_only,2,0,syn_004,0.8793402777777778,9.23192064750937
learned_only,2,0,syn_006,0.7436342592592593,8.338103570996404
learned_only,2,0,syn_008,0.7989004629629629,9.669518669204702
hybrid,2,0,syn_004,0.9563078703703703,6.000580143996841
hybrid,2,0,syn_006,0.7395833333333334,4.918459013092419
hybrid,2,0,syn_008,0.7951388888888888,5.529218824069385
learned_only,2,1,syn_004,0.8096064814814815,7.715365466737417
learned_only,2,1,syn_006,0.44560185185185186,6.202500084515588
learned_only,2,1,syn_008,0.5734953703703703,7.846332658517592
hybrid,2,1,syn_004,0.8324652777777778,5.600301937789857
hybrid,2,1,syn_006,0.7326388888888888,4.619114150959859
hybrid,2,1,syn_008,0.6710069444444444,4.7863258483060065
learned_only,2,2,syn_004,0.8990162037037037,10.283920684015776
learned_only,2,2,syn_006,0.8116319444444444,9.718815368995884
learned_only,2,2,syn_008,0.8550347222222222,11.14435758537743
hybrid,2,2,syn_004,0.9965277777777778,9.434362299267676
hybrid,2,2,syn_006,0.9048032407407407,8.61972983322384
hybrid,2,2,syn_008,0.9305555555555556,8.894760009276768
learned_only,2,3,syn_004,0.8026620370370371,8.020369512147937
learned_only,2,3,syn_006,0.7083333333333334,7.22106807936933
learned_only,2,3,syn_008,0.7592592592592593,8.252942891405239
